,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.0,0.0,0.39,0.0,0.72,0.2,0.13,0.17,0.18,0.0,0.24,0.14,0.19,0.16,0.39,0.0,0.17
codeblocks.csv,0.48,0.71,0.3,0.35,0.5,0.7,0.62,0.62,0.69,0.44,0.57,0.46,0.72,0.07,0.55,0.31,0.2
grisbi.csv,0.58,0.6,0.6,0.13,0.57,0.57,0.82,0.41,0.36,0.58,0.65,0.59,0.8,0.41,0.58,0.84,0.35
libmesh.csv,0.22,0.36,0.33,0.37,0.36,0.09,0.0,0.53,0.64,0.5,0.23,0.35,0.4,0.47,0.0,0.15,0.42
panda3d.csv,0.14,0.47,0.55,0.4,0.17,0.57,0.54,0.09,0.14,0.68,0.59,0.54,0.47,0.39,0.29,0.3,0.19
proftp.csv,0.12,0.3,0.04,0.0,0.22,0.78,0.35,0.18,0.14,0.0,0.0,0.33,0.11,0.27,0.34,0.32,0.06
red5.csv,0.35,0.64,0.59,0.71,0.56,0.62,0.22,0.66,0.69,0.05,0.3,0.33,0.85,0.44,0.57,0.38,0.44
skia.csv,0.56,0.56,0.46,0.44,0.62,0.76,0.67,0.63,0.28,0.13,0.59,0.46,0.11,0.46,0.63,0.54,0.54
soar.csv,0.34,0.0,0.39,0.27,0.0,0.0,0.0,0.26,0.0,0.33,0.09,0.0,0.0,0.62,0.09,0.0,0.37
super-tux.csv,0.41,0.35,0.63,0.57,0.57,0.53,0.0,0.74,0.63,0.05,0.56,0.53,0.9,0.27,0.41,0.38,0.42
t-2.csv,0.45,0.54,0.44,0.3,0.59,0.16,0.0,0.64,0.5,0.0,0.69,0.43,0.7,0.43,0.44,0.3,0.44
tart.csv,0.34,0.26,0.56,0.52,0.64,0.54,0.79,0.39,0.49,0.27,0.93,0.37,0.44,0.36,0.52,0.02,0.36
tcvp.csv,0.06,0.13,0.0,0.06,0.0,0.0,0.0,0.04,0.0,0.78,0.0,0.0,0.01,0.0,0.05,0.01,0.0
tencompetence.csv,0.42,0.1,0.3,0.22,0.37,0.09,0.15,0.34,0.59,0.0,0.0,0.43,0.43,0.58,0.3,0.21,0.78
utgb.csv,0.09,0.54,0.7,0.34,0.37,0.68,0.52,0.02,0.35,0.61,0.57,0.5,0.52,0.33,0.58,0.57,0.27
xbrlapi.csv,0.74,0.05,0.49,0.48,0.37,0.32,0.57,0.45,0.35,0.0,0.23,0.24,0.01,0.46,0.11,0.0,0.33
zemljanka.csv,0.38,0.66,0.0,0.27,0.58,0.57,0.78,0.0,0.42,0.27,0.69,0.6,0.45,0.39,0.61,0.83,0.3
