,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,91.0,0.0,0.0,69.0,1.0,0.0,52.0,54.0,132.0,2.0,0.0,195.0,1.0,91.0,74.0,0.0,97.0,118.0
fontforge.csv,1.0,0.0,1.0,0.0,1.0,3.0,44.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,16.0,7.0,5.0,2.0
glas.csv,3.0,3.0,3.0,3.0,1.0,6.0,25.0,6.0,9.0,1.0,2.0,13.0,0.0,3.0,2.0,9.0,3.0,8.0
gmerlin.csv,91.0,0.0,2.0,0.0,471.0,0.0,52.0,54.0,5.0,78.0,2.0,5.0,1.0,6.0,19.0,115.0,1.0,2.0
hannosset.csv,2.0,0.0,0.0,69.0,2.0,1.0,52.0,54.0,132.0,78.0,0.0,195.0,101.0,91.0,74.0,115.0,2.0,0.0
hatari.csv,0.0,6.0,1.0,0.0,2.0,7.0,35.0,10.0,26.0,0.0,2.0,5.0,1.0,6.0,16.0,7.0,5.0,5.0
jaolt.csv,0.0,0.0,0.0,6.0,1.0,0.0,24.0,9.0,2.0,5.0,2.0,21.0,0.0,3.0,1.0,13.0,2.0,1.0
jcl.csv,0.0,12.0,2.0,0.0,1.0,1.0,52.0,2.0,10.0,0.0,0.0,195.0,0.0,91.0,9.0,0.0,1.0,118.0
ltp.csv,0.0,1.0,1.0,2.0,2.0,11.0,42.0,0.0,4.0,0.0,2.0,1.0,1.0,2.0,19.0,7.0,3.0,5.0
mia.csv,0.0,104.0,0.0,4.0,0.0,1.0,52.0,0.0,4.0,0.0,0.0,0.0,0.0,91.0,74.0,115.0,2.0,118.0
net-snmp.csv,0.0,1.0,0.0,1.0,0.0,14.0,19.0,1.0,3.0,0.0,2.0,8.0,1.0,6.0,3.0,11.0,2.0,3.0
opde.csv,1.0,9.0,1.0,0.0,2.0,4.0,6.0,3.0,12.0,78.0,0.0,8.0,0.0,91.0,8.0,7.0,1.0,5.0
oppna-program-hsatools.csv,0.0,0.0,1.0,0.0,0.0,4.0,52.0,14.0,24.0,0.0,1.0,8.0,1.0,4.0,17.0,7.0,5.0,12.0
powerfolder-.csv,1.0,3.0,1.0,0.0,1.0,10.0,33.0,0.0,5.0,0.0,3.0,8.0,0.0,4.0,5.0,6.0,7.0,5.0
qlc.csv,91.0,2.0,64.0,69.0,471.0,1.0,52.0,54.0,132.0,78.0,0.0,0.0,0.0,91.0,74.0,19.0,97.0,118.0
quantlib.csv,91.0,9.0,0.0,2.0,471.0,0.0,28.0,54.0,7.0,78.0,0.0,4.0,0.0,1.0,8.0,115.0,97.0,0.0
tcl.csv,0.0,1.0,0.0,0.0,1.0,14.0,49.0,54.0,7.0,0.0,2.0,8.0,1.0,6.0,19.0,115.0,7.0,4.0
