,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.26,0.0,0.0,0.41,0.2,0.08,0.0,0.0,0.1,0.0,0.02,0.28,0.0,0.04,0.0,0.0,0.01
fontforge.csv,0.76,0.65,0.92,0.98,0.87,0.47,0.85,0.19,0.67,0.88,0.35,0.74,0.24,0.29,0.93,0.95,0.56,0.83
glas.csv,0.65,0.88,0.25,0.31,0.86,0.6,0.48,0.71,0.41,0.55,0.74,0.63,0.66,0.29,0.61,0.63,0.67,0.49
gmerlin.csv,0.0,0.88,0.72,1.0,0.0,0.7,1.0,0.0,0.97,0.0,0.91,0.94,1.0,1.0,1.0,0.0,0.08,0.35
hannosset.csv,0.04,0.0,0.0,0.0,0.01,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.21,0.0
hatari.csv,0.82,0.77,0.22,0.67,0.94,0.6,0.67,0.87,0.97,0.85,0.39,0.89,0.86,0.76,0.67,0.98,0.53,0.51
jaolt.csv,0.57,0.77,0.22,0.64,0.56,0.48,0.46,0.84,0.43,0.72,0.39,0.82,0.66,0.15,0.32,0.49,0.52,0.38
jcl.csv,0.22,0.18,0.39,0.0,0.22,0.18,0.23,0.1,0.28,0.1,0.22,0.01,0.0,0.0,0.19,0.01,0.03,0.19
ltp.csv,0.65,0.92,0.86,0.31,0.66,0.62,0.81,0.1,0.54,0.42,0.52,0.29,0.83,0.15,0.97,0.46,0.3,0.88
mia.csv,0.06,0.0,0.06,0.29,0.03,0.05,0.15,0.23,0.14,0.6,0.04,0.0,0.03,0.0,0.0,0.17,0.08,0.07
net-snmp.csv,0.29,0.22,0.31,0.51,0.47,0.58,0.37,1.0,0.9,0.38,0.61,0.6,0.55,0.93,0.3,0.25,0.33,0.19
opde.csv,1.0,0.45,1.0,0.07,1.0,0.58,0.12,0.13,0.5,0.02,0.22,0.98,0.62,0.05,0.49,0.74,0.26,0.29
oppna-program-hsatools.csv,0.8,0.59,0.83,1.0,0.9,0.49,1.0,1.0,0.96,1.0,0.26,0.99,0.97,0.6,0.42,0.99,0.74,0.85
powerfolder-.csv,0.94,0.09,0.69,1.0,0.81,0.31,0.63,0.23,0.93,0.92,0.57,1.0,0.17,0.44,0.19,0.95,0.71,0.58
qlc.csv,0.0,0.22,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.04,0.01,0.03,0.0,0.0,0.26,0.0,0.0
quantlib.csv,0.0,0.28,0.0,0.6,0.0,0.17,0.54,0.0,0.16,0.0,0.13,0.13,0.38,0.33,0.65,0.0,0.0,0.04
tcl.csv,0.82,0.97,0.89,0.98,0.6,0.96,0.94,0.0,0.87,0.28,0.78,0.98,1.0,1.0,0.94,0.0,0.42,0.89
