,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.46,0.07,0.0,0.49,0.57,0.0,0.0,0.0,0.17,0.33,0.0,0.59,0.0,0.0,0.13,0.0,0.0
fontforge.csv,0.45,0.5,0.57,0.5,0.81,0.56,0.04,0.64,0.26,0.65,0.66,0.17,0.52,0.53,0.16,0.21,0.48,0.31
glas.csv,0.62,0.48,0.48,0.27,0.67,0.57,0.07,0.58,0.31,0.63,0.77,0.14,0.77,0.59,0.15,0.23,0.5,0.25
gmerlin.csv,0.0,0.45,0.57,0.53,0.0,0.59,0.04,0.0,0.24,0.0,0.88,0.18,0.83,0.57,0.15,0.0,0.43,0.27
hannosset.csv,0.09,0.06,0.07,0.0,0.01,0.06,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.08
hatari.csv,0.53,0.48,0.65,0.41,0.8,0.6,0.05,0.58,0.23,0.65,0.75,0.18,0.81,0.6,0.14,0.22,0.39,0.34
jaolt.csv,0.67,0.51,0.68,0.43,0.73,0.58,0.08,0.57,0.34,0.6,0.91,0.15,0.84,0.3,0.13,0.2,0.43,0.31
jcl.csv,0.58,0.31,0.52,0.08,0.69,0.4,0.0,0.14,0.04,0.17,0.4,0.0,0.05,0.0,0.19,0.42,0.11,0.0
ltp.csv,0.52,0.47,0.59,0.53,0.84,0.56,0.05,0.31,0.28,0.6,0.84,0.25,0.76,0.3,0.15,0.28,0.24,0.34
mia.csv,0.24,0.0,0.28,0.15,0.01,0.13,0.0,0.49,0.06,0.57,0.15,0.29,0.08,0.0,0.0,0.0,0.32,0.0
net-snmp.csv,0.62,0.41,0.55,0.48,0.61,0.41,0.1,0.61,0.25,0.36,0.7,0.23,0.59,0.46,0.2,0.1,0.36,0.21
opde.csv,0.62,0.4,0.62,0.49,0.82,0.53,0.25,0.13,0.24,0.0,0.72,0.17,0.72,0.0,0.14,0.16,0.34,0.21
oppna-program-hsatools.csv,0.64,0.5,0.6,0.53,0.82,0.56,0.04,0.57,0.23,0.66,0.94,0.17,0.82,0.43,0.16,0.22,0.46,0.35
powerfolder-.csv,0.62,0.59,0.62,0.53,0.81,0.29,0.06,0.41,0.25,0.55,0.76,0.17,0.5,0.48,0.27,0.21,0.42,0.24
qlc.csv,0.0,0.35,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.26,0.19,0.2,0.0,0.0,0.05,0.0,0.0
quantlib.csv,0.0,0.32,0.39,0.35,0.0,0.27,0.07,0.0,0.15,0.0,0.43,0.35,0.54,0.47,0.18,0.0,0.0,0.35
tcl.csv,0.54,0.46,0.61,0.53,0.79,0.58,0.04,0.0,0.26,0.68,0.89,0.15,0.83,0.57,0.13,0.0,0.26,0.32
