,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.83,0.5,0.5,0.86,0.89,0.62,0.83,0.98,0.5,0.0,0.0,0.94,0.0,0.73,0.0,0.88
codeblocks.csv,0.92,0.43,0.69,0.43,0.59,0.41,0.35,0.57,0.5,0.36,0.4,0.47,0.49,0.0,0.44,0.43
grisbi.csv,0.33,0.39,0.34,0.32,0.42,0.34,0.31,0.45,0.44,0.39,0.36,0.43,0.42,0.29,0.42,0.38
libmesh.csv,0.74,0.96,0.94,0.79,0.95,0.7,0.85,0.72,0.91,0.82,0.69,0.82,0.74,0.44,0.97,0.48
mesa3d.csv,0.92,0.96,0.88,0.69,0.89,0.83,0.92,0.95,0.8,0.88,0.92,0.96,0.95,0.83,0.94,0.9
panda3d.csv,0.0,0.97,0.67,0.83,0.89,0.71,0.94,0.67,0.94,0.95,0.93,0.78,0.96,0.89,0.85,0.98
proftp.csv,0.75,0.52,0.55,0.5,0.7,0.47,0.45,0.54,0.5,0.83,0.6,0.51,0.92,0.56,0.55,0.77
qmmp.csv,0.44,0.52,0.53,0.4,0.47,0.41,0.4,0.48,0.52,0.45,0.4,0.45,0.46,0.43,0.52,0.64
red5.csv,0.45,0.56,0.45,0.46,0.65,0.71,0.8,0.53,0.74,0.62,0.47,0.63,0.66,0.8,0.78,0.61
soar.csv,0.36,0.46,0.45,0.39,0.44,0.44,0.42,0.46,0.54,0.39,0.35,0.48,0.48,0.57,0.47,0.48
super-tux.csv,0.41,0.41,0.42,0.35,0.44,0.4,0.35,0.47,0.49,0.36,0.34,0.43,0.44,0.0,0.4,0.45
t-2.csv,0.82,0.72,0.68,0.7,0.73,0.96,0.59,0.99,0.97,0.49,0.66,0.7,0.63,0.59,0.88,0.6
tart.csv,0.95,0.0,0.95,0.94,0.0,0.75,0.67,0.96,0.0,0.0,0.75,0.0,0.86,0.42,0.0,0.0
tcvp.csv,0.9,0.91,0.94,0.93,0.0,0.5,0.88,0.99,0.5,0.89,0.75,0.0,0.5,0.38,0.93,0.83
utgb.csv,0.94,0.77,0.53,0.61,0.94,0.67,0.92,0.86,0.95,0.0,0.93,0.78,0.83,0.5,0.88,0.67
xbrlapi.csv,0.56,0.61,0.68,0.44,0.53,0.88,0.38,0.59,0.62,0.63,0.49,0.63,0.58,0.9,0.6,0.46
