,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.7,0.1,0.65,0.42,0.34,0.58,0.54,0.37,0.12,0.42,0.38,0.68
gamestone.csv,0.25,0.54,0.24,0.37,0.3,0.0,0.0,0.27,0.04,0.14,0.21,0.15
gbif-providertoolkit.csv,0.56,0.0,0.35,0.43,0.56,0.77,0.53,0.39,0.16,0.42,0.29,0.5
heekscad.csv,0.78,0.45,0.68,0.49,0.31,0.64,0.53,0.33,0.12,0.5,0.36,0.86
igarden.csv,0.64,0.33,0.55,0.54,0.38,0.62,0.46,0.23,0.12,0.37,0.53,0.68
levent.csv,0.71,0.14,0.0,0.0,0.31,0.76,0.45,0.08,0.0,0.0,0.0,0.08
lportal.csv,0.34,0.0,0.38,0.0,0.13,0.21,0.05,0.32,0.25,0.03,0.0,0.15
openmsx.csv,0.67,0.25,0.31,0.45,0.39,0.42,0.07,0.28,0.0,0.56,0.18,0.5
owlapi.csv,0.6,0.0,0.38,0.18,0.29,0.67,0.48,0.46,0.08,0.49,0.46,0.77
pnotepad.csv,0.72,0.31,0.64,0.49,0.29,0.69,0.48,0.23,0.08,0.44,0.33,0.92
quark.csv,0.55,0.36,0.49,0.24,0.41,0.15,0.05,0.24,0.13,0.16,0.65,0.43
xcsoar.csv,0.72,0.25,0.71,0.47,0.38,0.55,0.42,0.31,0.12,0.44,0.33,0.37
