,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.83,0.0,0.0,0.08
repositorium.csv,0.12,0.82,0.12,0.47
simplewebservices.csv,0.46,0.82,0.75,0.67
xbg.csv,0.0,0.09,0.88,0.44
