,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.85,1.0,1.0,0.01,0.97,1.0,0.96,1.0,1.0,0.98
chrysalis.csv,0.45,0.48,0.94,0.44,0.44,0.66,0.63,0.72,0.7,0.28
jahshaka.csv,0.45,0.34,0.85,0.55,0.6,0.53,0.86,0.76,0.75,0.51
jam-daq.csv,0.62,0.82,0.76,0.48,0.44,0.67,0.4,0.93,0.7,0.89
jatlas.csv,0.87,0.64,0.89,0.57,0.16,0.91,0.58,0.8,0.82,0.68
jedit.csv,0.29,0.7,0.6,1.0,0.92,0.45,1.0,0.85,0.59,0.87
mscore.csv,0.61,0.73,0.57,0.69,0.49,0.42,0.67,0.69,0.63,0.54
open-media-library.csv,0.76,0.65,0.4,0.72,0.35,0.58,0.58,0.64,0.61,0.93
panda3d.csv,0.59,0.84,0.63,0.35,0.39,0.85,0.52,0.66,0.58,0.53
wheat.csv,0.85,0.73,0.93,0.51,0.61,0.5,0.77,0.46,0.65,0.82
