,octave.csv,zildo.csv,customsagetv.csv,alleg.csv,ctrlr.csv,xfce.csv,glas.csv,xcf.csv,tango-cs.csv
alleg.csv,0.36,0.5,0.56,0.98,0.7,0.52,0.48,0.52,0.61
ctrlr.csv,0.0,0.02,0.02,0.01,0.92,0.24,0.04,0.0,0.09
customsagetv.csv,0.0,0.21,0.97,0.1,0.28,0.07,0.0,0.04,0.19
glas.csv,0.44,0.43,0.26,0.22,0.28,0.28,0.98,0.43,0.4
octave.csv,0.96,0.27,0.7,0.34,0.17,0.12,0.06,0.36,0.48
tango-cs.csv,0.17,0.36,0.18,0.22,0.41,0.34,0.48,0.32,0.94
xcf.csv,0.54,0.64,0.58,0.62,0.52,0.48,0.48,0.97,0.63
xfce.csv,0.69,0.62,0.42,0.57,0.62,0.98,0.57,0.62,0.56
zildo.csv,0.31,0.98,0.12,0.41,0.17,0.5,0.28,0.32,0.21
