,octave.csv,zildo.csv,customsagetv.csv,alleg.csv,ctrlr.csv,xfce.csv,glas.csv,xcf.csv,tango-cs.csv
alleg.csv,0.72,0.71,0.59,0.03,0.43,0.67,0.76,0.71,0.61
ctrlr.csv,1.0,0.98,0.98,0.99,0.1,0.83,0.97,1.0,0.93
customsagetv.csv,1.0,0.82,0.04,0.92,0.77,0.94,1.0,0.97,0.88
glas.csv,0.69,0.76,0.86,0.82,0.78,0.8,0.03,0.65,0.69
octave.csv,0.05,0.82,0.53,0.73,0.89,0.91,0.95,0.85,0.83
tango-cs.csv,0.88,0.73,0.92,0.82,0.71,0.76,0.76,0.73,0.07
xcf.csv,0.78,0.65,0.76,0.7,0.67,0.84,0.68,0.05,0.55
xfce.csv,0.52,0.72,0.86,0.58,0.61,0.02,0.54,0.65,0.75
zildo.csv,0.76,0.02,0.91,0.71,0.91,0.67,0.77,0.73,0.84
