,net-snmp.csv,flylinkdc.csv,xbrlapi.csv,agilitybook.csv,vdsf.csv,n2cms.csv,jcae.csv,fw4spl.csv,ossbuild.csv,mimosa.csv,grisbi.csv,alpine.csv,tcvp.csv,yarp.csv,nabu-library.csv,virtuoso.csv,enzo.csv,jcl.csv,quickfast.csv,libarchive.csv
agilitybook.csv,0.0,0.28,0.3,0.53,0.0,0.27,0.37,0.46,0.42,0.21,0.42,0.5,0.56,0.45,0.47,0.06,0.19,0.45,0.53,0.02
alpine.csv,0.61,0.7,0.54,0.65,0.0,0.55,0.59,0.42,0.0,0.09,0.28,0.69,0.48,0.0,0.34,0.47,0.11,0.64,0.13,0.05
enzo.csv,0.3,0.67,0.46,0.17,0.0,0.57,0.21,0.05,0.28,0.74,0.78,0.35,0.21,0.55,0.89,0.6,0.81,0.0,0.61,0.46
flylinkdc.csv,0.54,0.71,0.57,0.37,0.09,0.52,0.69,0.49,0.43,0.72,0.64,0.65,0.44,0.68,0.5,0.52,0.63,0.0,0.56,0.63
fw4spl.csv,0.36,0.51,0.33,0.41,0.38,0.41,0.37,0.57,0.33,0.33,0.59,0.47,0.52,0.28,0.29,0.56,0.52,0.47,0.42,0.59
grisbi.csv,0.57,0.63,0.49,0.35,0.0,0.58,0.21,0.13,0.43,0.0,0.85,0.65,0.48,0.13,0.29,0.48,0.0,0.0,0.0,0.69
jcae.csv,0.0,0.35,0.37,0.19,0.02,0.29,0.87,0.49,0.0,0.38,0.24,0.29,0.26,0.1,0.17,0.36,0.01,0.33,0.27,0.02
jcl.csv,0.68,0.36,0.57,0.6,0.13,0.55,0.38,0.61,0.22,0.37,0.25,0.38,0.45,0.28,0.66,0.09,0.33,0.59,0.44,0.53
libarchive.csv,0.6,0.63,0.49,0.62,0.6,0.53,0.34,0.27,0.39,0.21,0.83,0.55,0.54,0.47,0.37,0.66,0.63,0.0,0.61,0.67
mimosa.csv,0.24,0.66,0.62,0.61,0.05,0.37,0.57,0.52,0.55,0.81,0.4,0.54,0.33,0.32,0.86,0.68,0.52,0.68,0.34,0.45
n2cms.csv,0.61,0.65,0.57,0.66,0.65,0.63,0.6,0.35,0.44,0.42,0.79,0.58,0.36,0.44,0.37,0.65,0.44,0.54,0.65,0.68
nabu-library.csv,0.09,0.41,0.27,0.55,0.35,0.4,0.37,0.44,0.51,0.27,0.24,0.6,0.34,0.14,0.86,0.61,0.34,0.59,0.5,0.21
net-snmp.csv,0.71,0.27,0.52,0.49,0.05,0.52,0.53,0.7,0.41,0.42,0.73,0.6,0.52,0.59,0.29,0.65,0.34,0.24,0.57,0.64
ossbuild.csv,0.55,0.48,0.52,0.65,0.23,0.62,0.49,0.38,0.8,0.44,0.1,0.29,0.35,0.57,0.33,0.44,0.18,0.41,0.27,0.46
quickfast.csv,0.0,0.67,0.61,0.53,0.66,0.66,0.47,0.5,0.45,0.62,0.83,0.44,0.61,0.47,0.67,0.58,0.0,0.0,0.8,0.63
tcvp.csv,0.0,0.04,0.06,0.0,0.0,0.05,0.0,0.07,0.0,0.0,0.0,0.0,0.78,0.1,0.72,0.02,0.0,0.0,0.16,0.0
vdsf.csv,0.29,0.48,0.63,0.36,0.4,0.6,0.31,0.2,0.51,0.33,0.0,0.05,0.57,0.53,0.48,0.3,0.17,0.41,0.23,0.05
virtuoso.csv,0.0,0.36,0.48,0.09,0.07,0.44,0.05,0.45,0.04,0.2,0.0,0.0,0.0,0.4,0.21,0.54,0.0,0.32,0.23,0.19
xbrlapi.csv,0.06,0.26,0.71,0.06,0.0,0.49,0.37,0.31,0.04,0.62,0.55,0.29,0.0,0.1,0.21,0.0,0.11,0.17,0.18,0.0
yarp.csv,0.31,0.17,0.37,0.38,0.0,0.5,0.26,0.22,0.0,0.32,0.0,0.29,0.0,0.58,0.48,0.0,0.75,0.32,0.18,0.0
