,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.05,0.0,0.1,0.0,0.49,0.0,0.0,0.21,0.09,0.0,0.36,0.06,0.0,0.76,0.34,0.0
codeblocks.csv,0.7,0.49,0.16,0.03,0.56,0.43,0.57,0.22,0.54,0.77,0.72,0.7,0.2,0.0,0.18,0.03
grisbi.csv,0.88,0.79,0.81,0.93,0.79,0.78,0.14,0.89,0.93,0.95,0.76,0.79,0.6,0.8,0.92,0.58
libmesh.csv,0.1,0.28,0.16,0.14,0.46,0.3,0.79,0.12,0.37,0.47,0.19,0.47,0.6,0.36,0.45,0.1
mesa3d.csv,0.32,0.64,0.29,0.38,0.12,0.59,0.14,0.6,0.61,0.85,0.65,0.45,0.4,0.72,0.6,0.31
panda3d.csv,0.12,0.31,0.23,0.34,0.35,0.59,0.36,0.11,0.13,0.28,0.28,0.33,0.6,0.88,0.26,0.22
proftp.csv,0.1,0.08,0.29,0.07,0.11,0.24,0.07,0.15,0.46,0.0,0.15,0.22,0.0,0.28,0.06,0.02
qmmp.csv,0.32,0.21,0.58,0.62,0.49,0.35,0.36,0.91,0.96,0.93,0.66,0.38,0.4,0.56,0.19,0.75
red5.csv,0.8,0.64,0.52,0.34,0.71,0.68,0.93,0.59,0.57,0.95,0.91,0.82,0.4,0.8,0.47,0.88
soar.csv,0.9,1.0,0.81,0.86,1.0,1.0,1.0,0.9,1.0,0.99,0.96,1.0,0.8,0.36,1.0,1.0
super-tux.csv,0.57,0.9,0.42,0.34,0.7,0.76,1.0,0.55,0.54,0.95,0.75,0.73,0.0,0.12,0.45,0.85
t-2.csv,0.45,0.79,0.19,0.14,0.78,0.3,1.0,0.16,0.2,1.0,0.62,0.57,0.6,0.68,0.63,0.28
tart.csv,0.12,0.05,0.65,0.62,0.35,0.84,0.5,0.6,0.65,0.92,0.27,0.18,0.2,0.88,0.42,0.08
tcvp.csv,0.05,0.1,0.03,0.0,0.01,0.0,0.0,0.02,0.0,0.22,0.15,0.04,0.0,0.0,0.0,0.01
utgb.csv,0.18,0.33,0.23,0.1,0.29,0.49,0.07,0.05,0.35,0.53,0.38,0.21,0.0,0.64,0.16,0.38
xbrlapi.csv,0.35,0.05,0.77,0.76,0.24,0.03,0.14,0.37,0.37,0.01,0.22,0.24,0.2,0.68,0.18,0.02
