,f1,g,recall,precision,pf,wins
bulmages.csv,0.04,0.05,0.04,0.035,0.055,1
codeblocks.csv,0.43000000000000005,0.555,0.63,0.535,0.45999999999999996,13
grisbi.csv,0.595,0.515,0.895,0.495,0.795,15
libmesh.csv,0.25,0.28500000000000003,0.255,0.365,0.32999999999999996,2
mesa3d.csv,0.445,0.54,0.5900000000000001,0.51,0.52,10
panda3d.csv,0.355,0.375,0.355,0.43,0.29500000000000004,6
proftp.csv,0.26,0.245,0.21000000000000002,0.565,0.10500000000000001,5
qmmp.csv,0.515,0.51,0.625,0.49,0.525,11
red5.csv,0.58,0.56,0.765,0.49,0.6950000000000001,14
soar.csv,0.61,0.025,0.995,0.47,0.995,4
super-tux.csv,0.505,0.56,0.77,0.42000000000000004,0.635,12
t-2.csv,0.45,0.455,0.575,0.48,0.585,7
tart.csv,0.4,0.46499999999999997,0.535,0.485,0.45999999999999996,8
tcvp.csv,0.0,0.0,0.0,0.0,0.01,0
utgb.csv,0.41500000000000004,0.46499999999999997,0.43,0.5,0.26,9
xbrlapi.csv,0.27,0.28500000000000003,0.25,0.35,0.22999999999999998,3
