,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.0,0.0,0.82,0.0,0.34,0.0,0.0,0.07,0.33,0.0,0.11,0.0,1.0,0.44,0.61,0.0
codeblocks.csv,0.51,0.82,0.72,0.92,0.22,0.56,0.84,0.25,0.46,0.1,0.06,0.26,0.99,1.0,0.67,0.22
grisbi.csv,0.51,0.75,0.56,0.6,0.23,0.5,0.96,0.12,0.37,0.11,0.07,0.33,0.97,0.49,0.5,0.28
libmesh.csv,0.64,0.69,0.5,0.33,0.18,0.08,0.78,0.02,0.51,0.08,0.0,0.25,0.93,0.64,0.4,0.07
mesa3d.csv,0.54,0.76,0.59,0.72,0.17,0.53,0.91,0.14,0.3,0.12,0.06,0.33,0.97,0.49,0.53,0.33
panda3d.csv,0.29,0.77,0.68,0.44,0.2,0.42,0.86,0.04,0.25,0.16,0.04,0.47,0.93,0.49,0.59,0.2
proftp.csv,0.67,0.9,0.59,0.67,0.36,0.71,0.94,0.14,0.22,0.0,0.0,0.37,1.0,0.67,0.43,0.54
qmmp.csv,0.65,0.86,0.45,0.65,0.24,0.55,0.91,0.12,0.35,0.09,0.05,0.31,0.97,0.53,0.78,0.19
red5.csv,0.48,0.78,0.62,0.76,0.19,0.5,0.76,0.16,0.45,0.09,0.06,0.29,0.98,0.51,0.58,0.22
soar.csv,0.49,0.75,0.51,0.61,0.21,0.45,0.82,0.1,0.36,0.11,0.06,0.31,0.96,0.7,0.5,0.21
super-tux.csv,0.39,0.75,0.63,0.7,0.22,0.51,0.75,0.16,0.44,0.11,0.06,0.32,1.0,0.4,0.61,0.21
t-2.csv,0.5,0.75,0.67,0.69,0.18,0.27,0.8,0.35,0.62,0.11,0.07,0.25,0.97,0.48,0.48,0.25
tart.csv,0.69,0.92,0.58,0.57,0.32,0.49,0.9,0.1,0.3,0.12,0.14,0.44,0.98,0.48,0.55,0.25
tcvp.csv,0.5,0.78,0.0,1.0,0.0,0.0,0.0,0.35,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0
utgb.csv,0.22,0.8,0.77,0.79,0.3,0.54,0.96,0.1,0.24,0.11,0.06,0.48,1.0,0.52,0.69,0.25
xbrlapi.csv,0.67,0.6,0.41,0.57,0.24,0.88,0.94,0.15,0.29,0.0,0.05,0.26,0.0,0.6,0.56,0.17
