,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.7,0.9,0.54,0.67,0.68,0.59,0.48,0.6,0.57,0.77,0.98,0.71
gamestone.csv,0.88,0.25,0.89,0.66,0.81,1.01,1.0,0.84,0.92,0.85,0.96,0.92
gbif-providertoolkit.csv,0.91,1.18,0.73,0.66,0.38,0.78,0.84,0.49,0.49,0.75,0.67,0.97
heekscad.csv,0.38,0.66,0.46,0.6,0.58,0.61,0.72,0.58,0.54,0.62,0.52,0.64
igarden.csv,0.57,0.75,0.62,0.51,0.76,0.71,0.85,0.78,0.78,0.89,0.73,0.81
levent.csv,0.57,0.88,1.0,1.0,0.66,0.49,0.54,1.0,1.0,1.0,1.0,1.0
lportal.csv,0.78,1.0,0.76,1.0,0.93,0.9,1.0,0.65,0.36,0.98,1.0,0.92
openmsx.csv,0.94,0.81,0.79,0.92,0.61,0.67,0.95,0.63,1.0,0.55,0.59,0.96
owlapi.csv,0.91,1.04,0.67,0.84,0.76,0.6,0.94,0.38,0.54,0.87,0.65,0.54
pnotepad.csv,0.41,0.52,0.74,0.97,0.92,0.57,0.61,0.89,0.99,0.87,1.0,0.1
quark.csv,0.49,0.76,0.51,0.94,0.66,0.9,0.87,0.46,0.57,0.81,0.25,0.76
xcsoar.csv,0.43,0.64,0.4,0.58,0.54,0.64,0.58,0.55,0.62,0.75,1.0,0.73
