,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.64,0.32,0.15,0.29,0.24,0.63,0.62,0.07,0.09,0.26,0.56,0.25,0.52
grafx2.csv,0.57,0.3,0.17,0.34,0.49,0.55,0.67,0.45,0.79,0.78,0.48,0.51,0.6
jahshakafx.csv,0.67,0.34,0.17,0.34,0.45,0.58,0.57,0.24,0.59,0.78,0.59,0.53,0.53
kftpgrabber.csv,0.64,0.25,0.0,0.12,0.57,0.49,0.17,0.07,0.37,0.16,0.75,0.24,0.33
kindb.csv,0.67,0.26,0.17,0.34,0.64,0.58,0.69,0.07,0.3,0.87,0.57,0.13,0.62
maya-work-in-progress.csv,0.54,0.27,0.15,0.35,0.89,0.55,0.82,0.54,0.79,0.69,0.53,0.49,0.64
netatalk.csv,0.44,0.24,0.13,0.21,0.37,0.49,0.52,0.13,0.7,0.68,0.43,0.53,0.45
nullc.csv,0.52,0.21,0.11,0.23,0.8,0.51,0.47,0.4,0.7,0.76,0.52,0.4,0.5
plee-the-bear.csv,0.66,0.28,0.26,0.07,0.51,0.41,0.63,0.35,0.62,0.66,0.44,0.38,0.47
reaper-ecad.csv,0.54,0.15,0.06,0.37,0.36,0.42,0.06,0.0,0.05,0.11,0.37,0.24,0.29
unimrcp.csv,0.62,0.29,0.18,0.32,0.63,0.59,0.61,0.67,0.61,0.82,0.6,0.48,0.58
unladen-swallow.csv,0.24,0.29,0.22,0.06,0.24,0.41,0.52,0.53,0.55,0.52,0.5,0.54,0.15
xmoto.csv,0.53,0.28,0.16,0.14,0.67,0.57,0.53,0.36,0.67,0.8,0.56,0.42,0.73
