,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.38,0.55,0.44,0.63,0.62,0.72,0.71,0.74,0.72,0.67,0.77,0.72
autowikibrowser.csv,0.67,0.74,0.59,0.66,0.63,0.64,0.65,0.59,0.69,0.7,0.82,0.71
cities3d.csv,0.0,0.58,0.15,0.56,0.2,0.69,0.6,0.0,0.27,0.5,0.79,0.0
firebird.csv,0.46,0.68,0.57,0.66,0.57,0.69,0.68,0.33,0.59,0.7,0.73,0.53
hydrogen.csv,0.63,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.52
lphant.csv,0.66,0.68,0.56,0.62,0.64,0.69,0.75,0.44,0.68,0.68,0.82,0.71
qgo.csv,0.52,0.84,0.55,0.7,0.68,0.43,0.76,0.58,0.24,0.5,0.7,0.69
quickfast.csv,0.55,0.58,0.46,0.55,0.44,0.52,0.61,0.53,0.33,0.32,0.58,0.71
rhex.csv,0.88,0.61,0.51,0.5,0.45,0.63,0.6,0.23,0.06,0.5,0.71,0.54
rocrail.csv,0.6,0.54,0.54,0.64,0.66,0.64,0.71,0.53,0.63,0.6,0.84,0.5
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0
yield.csv,0.54,0.68,0.67,0.54,0.73,0.0,0.7,0.49,0.7,0.69,0.74,0.66
