,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.33,0.5,0.39,0.62,0.57,0.73,0.69,0.9,0.82,0.68,0.77,0.72
autowikibrowser.csv,0.67,0.77,0.59,0.76,0.59,0.7,0.62,0.6,0.68,0.7,0.91,0.83
cities3d.csv,0.0,0.77,0.12,0.62,0.17,0.68,0.56,0.0,0.23,0.45,0.91,0.0
firebird.csv,0.42,0.83,0.55,0.77,0.52,0.84,0.69,1.0,0.77,0.8,0.77,0.83
hydrogen.csv,0.92,1.0,1.0,1.0,1.0,1.0,0.75,0.0,1.0,1.0,1.0,0.53
lphant.csv,0.92,0.87,0.67,0.69,0.81,0.81,0.81,0.4,0.68,0.84,1.0,0.83
qgo.csv,0.92,0.83,0.85,0.75,0.7,0.89,0.81,0.8,0.91,0.98,1.0,0.94
quickfast.csv,0.92,0.57,0.81,0.53,0.44,0.84,0.62,0.5,0.95,0.91,0.91,0.7
rhex.csv,0.92,0.77,0.49,0.6,0.41,0.7,0.56,0.2,0.05,0.55,0.73,0.55
rocrail.csv,0.58,0.5,0.51,0.78,0.65,0.73,0.69,0.5,0.64,0.57,0.86,0.47
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
yield.csv,0.58,0.8,0.7,0.9,0.71,1.0,0.88,1.0,0.91,0.73,0.95,0.87
