,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.79,0.8,0.61,0.59,0.8,0.72,0.84,0.58,0.78,0.82,0.78,0.61,0.41,0.43,0.84,0.88,0.63,0.52
arm-webradio.csv,0.74,0.52,0.92,0.65,0.61,0.7,0.86,0.34,0.9,0.93,1.0,0.7,0.79,0.75,0.61,0.99,0.93,0.17
bwapi.csv,0.92,0.93,0.96,0.99,0.83,0.98,0.96,1.14,0.8,0.65,1.0,0.97,0.97,1.0,0.55,0.29,0.82,1.01
co-ode-owl-plugins.csv,0.77,0.52,0.5,0.63,0.62,0.57,0.86,0.29,0.72,0.98,0.95,0.65,0.84,0.94,0.58,1.0,0.62,0.17
firebreath.csv,0.55,0.56,0.53,0.54,0.48,0.41,0.86,0.8,0.66,0.57,0.95,0.68,0.76,0.36,0.72,0.85,0.78,0.68
frogatto.csv,0.46,0.7,0.77,0.6,0.55,0.55,0.63,1.01,0.49,0.42,0.97,0.51,0.7,0.99,0.43,0.99,0.47,0.86
gretl.csv,0.55,0.64,0.53,0.52,0.97,0.71,0.76,0.61,0.71,0.98,0.88,0.46,0.63,0.51,0.97,0.84,0.73,0.43
jasperreports.csv,0.74,0.85,0.94,0.89,0.84,0.84,1.0,1.17,1.04,0.81,0.9,0.69,0.71,0.13,0.91,0.88,0.99,1.25
konversation.csv,0.58,0.69,0.31,0.6,0.51,0.5,0.59,0.56,0.86,0.81,0.69,0.55,0.81,0.47,0.7,0.88,0.79,0.75
linuxsh.csv,0.64,0.41,0.92,0.87,0.62,0.85,1.0,0.4,0.75,0.91,1.0,0.88,0.92,1.01,0.59,0.93,1.02,0.55
moviesandbox.csv,0.82,0.67,0.49,0.59,0.5,0.65,0.91,0.38,0.5,0.76,0.94,0.83,0.84,0.67,0.59,0.92,0.65,0.77
ontomorphtab.csv,0.39,1.0,0.89,0.82,0.91,0.9,0.91,0.98,0.85,0.61,0.93,0.9,1.0,0.34,0.97,0.69,1.02,1.01
opengs.csv,0.83,0.59,0.46,0.42,0.57,0.61,0.86,0.89,0.39,0.56,1.0,0.69,0.75,0.81,0.54,0.66,0.3,0.63
scite-ru.csv,0.91,0.59,0.64,0.73,0.81,0.75,0.62,0.81,0.65,0.98,0.75,0.52,0.73,1.0,0.71,1.0,0.84,0.69
tokratan.csv,0.71,0.56,0.44,0.48,0.53,0.75,0.95,0.89,0.61,0.46,0.91,0.51,0.66,0.52,0.78,0.9,0.27,0.72
vrjuggler.csv,0.7,1.0,0.59,0.98,0.65,0.98,0.96,0.34,0.96,0.94,0.46,0.98,0.98,1.16,0.62,0.83,0.86,0.77
wxcode.csv,0.74,1.02,0.44,0.56,0.74,0.7,0.72,0.94,0.98,0.6,0.82,0.64,0.77,0.38,0.86,0.89,0.18,1.07
xuggle.csv,0.54,0.74,0.45,0.33,0.58,0.61,0.6,0.78,0.54,0.53,0.89,0.54,0.6,0.98,0.5,0.77,0.41,0.52
