,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.45,0.73,0.0,0.71,0.55,0.04,1.0,0.0,0.5,0.95,0.11,0.82,0.19,0.22,0.0,0.0
codepurge.csv,0.46,0.36,0.43,0.39,0.71,0.49,0.05,0.49,0.06,0.54,0.88,0.1,0.82,0.31,0.12,0.37,0.18
fontforge.csv,0.43,0.31,0.43,0.36,0.69,0.48,0.02,0.69,0.13,0.49,0.89,0.09,0.72,0.15,0.12,0.33,0.2
gmerlin.csv,0.0,0.28,0.49,0.36,0.0,0.43,0.02,0.0,0.14,0.0,0.83,0.1,0.72,0.14,0.0,0.5,0.2
hatari.csv,0.46,0.43,0.66,0.38,0.7,0.47,0.02,0.42,0.13,0.51,0.94,0.09,0.72,0.13,0.12,0.35,0.23
jaolt.csv,0.52,0.29,0.6,0.3,0.44,0.5,0.05,0.47,0.22,0.0,0.89,0.11,0.79,0.28,0.04,0.38,0.32
jcl.csv,0.55,0.44,0.5,0.43,0.8,0.48,0.0,0.63,0.11,0.49,0.85,0.1,0.74,0.11,0.19,0.44,0.19
ltp.csv,0.43,0.29,0.45,0.42,0.79,0.43,0.0,0.48,0.13,0.52,0.9,0.12,0.68,0.14,0.11,0.39,0.2
mia.csv,0.54,1.0,0.57,0.31,0.33,0.52,0.06,0.62,0.11,0.48,0.97,0.24,0.89,0.0,0.08,0.5,0.22
net-snmp.csv,0.56,0.38,0.45,0.34,0.63,0.39,0.06,0.44,0.15,0.45,0.78,0.13,0.73,0.23,0.04,0.43,0.12
opde.csv,0.45,0.33,0.45,0.58,0.69,0.46,0.05,0.53,0.15,0.0,0.93,0.1,0.73,0.19,0.11,0.33,0.22
oppna-program-hsatools.csv,0.49,0.41,0.5,0.36,0.74,0.55,0.02,0.45,0.13,0.49,0.98,0.09,0.77,0.12,0.13,0.36,0.17
powerfolder-.csv,0.53,0.55,0.62,0.35,0.62,0.36,0.07,0.44,0.18,0.42,0.91,0.08,0.82,0.25,0.12,0.27,0.15
qlc.csv,0.0,0.35,0.0,0.37,0.67,0.55,0.06,0.0,0.25,0.0,0.89,0.09,0.88,0.19,0.27,0.0,0.3
quantlib.csv,0.45,0.21,0.75,0.0,0.69,0.2,0.0,0.44,0.08,0.49,0.62,0.21,0.56,0.0,0.12,0.33,0.39
tcl.csv,0.38,0.29,0.41,0.34,0.71,0.39,0.0,0.0,0.14,0.66,0.82,0.06,0.71,0.1,0.0,0.24,0.19
