,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.9,0.85,0.05,0.78,0.77,0.56,0.78,0.7,0.83,0.68,0.64,0.86
baadengine.csv,0.04,0.63,0.61,0.88,0.94,0.74,0.95,0.97,0.7,0.54,0.95,0.79
chaosrts.csv,0.64,1.0,0.89,0.71,0.92,0.74,0.62,0.93,1.0,0.51,0.01,1.0
chaperon.csv,0.93,0.89,0.82,0.72,1.04,0.0,0.73,0.91,1.0,0.85,0.91,0.77
empyrean.csv,0.62,0.01,0.68,0.78,0.83,1.04,0.72,0.59,0.8,0.53,0.73,0.69
hydrate.csv,0.72,0.93,0.75,0.7,0.58,1.01,0.65,0.64,0.93,0.55,0.76,0.05
jaxlib.csv,0.99,0.95,1.0,0.98,0.0,1.0,1.0,0.73,0.93,1.0,0.92,0.97
joustsim.csv,0.9,0.71,0.73,0.79,0.51,1.01,0.66,0.0,0.76,0.6,0.86,0.66
loki-lib.csv,0.59,0.68,0.53,0.72,0.9,0.87,0.75,0.46,0.07,0.42,0.37,0.79
owlapi.csv,0.94,0.89,0.85,0.87,1.0,0.6,0.08,0.71,0.88,0.84,0.75,0.89
pamguard.csv,0.55,0.7,0.91,0.0,1.1,0.65,0.66,1.04,0.78,0.74,0.74,0.8
poormans.csv,0.7,0.86,0.8,0.57,0.44,1.01,0.56,0.51,0.64,0.03,0.75,0.6
