,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.16,0.23,0.96,0.31,0.48,0.54,0.28,0.47,0.25,0.42,0.64,0.37
baadengine.csv,0.98,0.68,0.66,0.39,0.24,0.49,0.21,0.13,0.65,0.74,0.21,0.56
chaosrts.csv,0.66,0.0,0.38,0.58,0.3,0.49,0.56,0.27,0.0,0.71,0.99,0.0
chaperon.csv,0.09,0.14,0.21,0.36,0.0,1.0,0.36,0.11,0.0,0.27,0.11,0.28
empyrean.csv,0.5,0.99,0.56,0.31,0.45,0.0,0.56,0.56,0.32,0.67,0.43,0.4
hydrate.csv,0.33,0.09,0.31,0.38,0.78,0.0,0.47,0.41,0.09,0.52,0.28,0.99
jaxlib.csv,0.01,0.07,0.0,0.02,1.0,0.0,0.0,0.31,0.09,0.0,0.1,0.04
joustsim.csv,0.42,0.55,0.46,0.28,0.55,0.0,0.44,1.0,0.49,0.63,0.18,0.41
loki-lib.csv,0.59,0.59,0.77,0.59,0.42,0.28,0.5,0.8,0.94,0.74,0.71,0.55
owlapi.csv,0.1,0.17,0.3,0.17,0.0,0.53,0.93,0.4,0.24,0.21,0.36,0.15
pamguard.csv,0.54,0.48,0.21,1.0,0.0,0.73,0.65,0.27,0.42,0.54,0.58,0.4
poormans.csv,0.38,0.19,0.31,0.5,0.86,0.0,0.55,0.58,0.43,0.97,0.29,0.51
