,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.24,0.29,0.0,0.27,0.58,0.25,0.15,0.43,0.24,0.27,0.58,0.58
baadengine.csv,0.03,0.61,0.57,0.88,0.94,0.54,0.95,0.97,0.7,0.52,0.95,0.79
chaosrts.csv,0.6,1.0,0.89,0.64,0.92,0.54,0.44,0.93,1.0,0.45,0.0,1.0
chaperon.csv,0.05,0.13,0.07,0.24,0.27,0.0,0.27,0.07,0.0,0.38,0.05,0.16
empyrean.csv,0.32,0.0,0.54,0.27,0.67,0.29,0.62,0.38,0.35,0.44,0.42,0.26
hydrate.csv,0.01,0.05,0.2,0.24,0.58,0.1,0.32,0.08,0.0,0.14,0.0,0.05
jaxlib.csv,0.01,0.13,0.0,0.0,0.0,0.08,0.02,0.07,0.04,0.0,0.0,0.05
joustsim.csv,0.74,0.61,0.48,0.21,0.1,0.1,0.27,0.0,0.59,0.5,0.16,0.16
loki-lib.csv,0.43,0.58,0.52,0.67,0.75,0.44,0.57,0.45,0.0,0.34,0.21,0.79
owlapi.csv,0.19,0.26,0.43,0.12,0.02,0.33,0.01,0.32,0.39,0.15,0.32,0.11
pamguard.csv,0.25,0.45,0.39,0.0,0.46,0.65,0.63,0.75,0.52,0.61,0.68,0.53
poormans.csv,0.23,0.18,0.33,0.18,0.44,0.12,0.28,0.23,0.15,0.01,0.05,0.32
