,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.81,0.81,0.62,0.8,0.72,0.8,0.71,0.83,0.9,0.27
geotools.csv,0.91,0.64,0.55,0.78,0.73,0.68,0.5,0.86,0.92,0.45
gephex.csv,0.84,0.91,0.68,1.0,0.82,0.5,0.64,0.47,0.82,0.9
haggle.csv,0.95,0.51,0.5,0.97,0.73,0.61,0.6,0.88,0.89,0.89
java-gnome.csv,0.84,0.77,0.65,0.23,0.74,0.61,0.62,0.82,0.85,0.7
jgnash.csv,0.78,0.6,0.42,0.69,0.66,0.51,0.58,0.82,0.87,0.83
jrdf.csv,0.95,0.86,0.84,0.45,0.65,0.33,0.72,0.87,0.7,0.93
mpqc.csv,0.47,0.82,0.94,0.8,0.7,0.9,0.9,0.75,0.7,0.72
panda3d.csv,0.74,0.66,0.59,0.73,0.6,0.83,0.68,0.78,0.86,0.99
tencompetence.csv,0.64,0.9,0.66,0.63,0.68,0.95,0.89,0.94,0.35,1.12
