,arianne.csv,qgis.csv,phonon-vlc-mplayer.csv,arcallians.csv,mbse.csv,alsa.csv,multitude.csv,cortex-vfx.csv
alsa.csv,0.55,0.67,0.56,0.61,0.4,0.7,0.61,0.36
arcallians.csv,0.59,0.65,0.61,0.76,0.42,0.42,0.6,0.43
arianne.csv,0.71,0.65,0.44,0.68,0.4,0.77,0.66,0.32
cortex-vfx.csv,0.48,0.58,0.55,0.68,0.47,0.35,0.5,0.46
mbse.csv,0.51,0.6,0.23,0.63,0.52,0.76,0.58,0.37
multitude.csv,0.69,0.64,0.45,0.58,0.43,0.76,0.69,0.39
phonon-vlc-mplayer.csv,0.53,0.6,0.72,0.77,0.4,0.55,0.57,0.41
qgis.csv,0.46,0.65,0.67,0.53,0.0,0.0,0.51,0.37
