,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.71,0.17,0.6,0.49,0.23,0.43,0.18,0.0,0.56,0.28,0.81,0.11,0.52,0.64,0.36,0.12,0.07
bionote.csv,0.68,0.25,0.46,0.51,0.59,0.34,0.48,0.64,0.53,0.27,0.41,0.4,0.94,0.69,0.46,0.28,0.33
bullet.csv,0.17,0.52,0.55,0.46,0.67,0.58,0.72,0.47,0.53,0.7,0.53,0.49,0.0,0.48,0.41,0.0,0.57
dxengine.csv,0.0,0.59,0.19,0.4,0.59,0.14,0.4,0.37,0.0,0.62,0.54,0.5,0.14,0.02,0.25,0.23,0.47
emono.csv,0.59,0.46,0.66,0.32,0.41,0.0,0.42,0.73,0.43,0.5,0.37,0.21,0.27,0.53,0.58,0.0,0.69
findbugs.csv,0.58,0.6,0.62,0.51,0.68,0.52,0.63,0.64,0.71,0.59,0.43,0.63,0.54,0.57,0.52,0.0,0.45
hazelcast.csv,0.76,0.7,0.6,0.33,0.68,0.93,0.6,0.63,0.59,0.23,0.65,0.48,0.66,0.69,0.5,0.84,0.43
jedit.csv,0.73,0.6,0.53,0.32,0.66,0.0,0.64,0.61,0.5,0.53,0.64,0.46,0.53,0.72,0.52,0.82,0.09
jmonkeyengine.csv,0.06,0.52,0.26,0.3,0.59,0.18,0.54,0.54,0.69,0.5,0.22,0.17,0.71,0.37,0.37,0.0,0.46
kolmafia.csv,0.53,0.74,0.54,0.13,0.72,0.74,0.69,0.49,0.4,0.0,0.13,0.5,0.66,0.71,0.38,0.45,0.6
lamp.csv,0.61,0.67,0.46,0.57,0.74,0.71,0.6,0.6,0.47,0.55,0.47,0.46,0.63,0.52,0.51,0.58,0.27
lcfizvtop.csv,0.65,0.51,0.63,0.61,0.58,0.67,0.55,0.37,0.57,0.49,0.42,0.8,0.64,0.56,0.44,0.6,0.57
onotoa.csv,0.24,0.09,0.26,0.38,0.49,0.32,0.47,0.68,0.2,0.61,0.27,0.31,0.0,0.23,0.48,0.39,0.36
openintents.csv,0.26,0.09,0.49,0.63,0.37,0.7,0.5,0.49,0.17,0.38,0.62,0.4,0.09,0.48,0.09,0.0,0.48
qlc.csv,0.49,0.6,0.6,0.48,0.65,0.6,0.69,0.66,0.53,0.53,0.32,0.4,0.84,0.62,0.53,0.51,0.55
triplea.csv,0.71,0.72,0.71,0.24,0.64,0.75,0.65,0.6,0.63,0.5,0.75,0.57,0.34,0.52,0.57,0.87,0.59
