,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.59,0.02,0.33,0.79,0.06,0.0,0.0,0.01,0.42,0.0,0.16,0.04,0.37,0.64,0.24,0.0,0.02
bionote.csv,0.6,0.07,0.05,0.7,0.25,0.0,0.38,0.56,0.26,0.31,0.14,0.27,0.23,0.46,0.36,0.0,0.19
bullet.csv,0.96,0.37,0.48,0.85,0.63,0.7,0.29,0.37,0.8,0.56,0.55,0.29,1.0,0.31,0.87,1.0,0.57
dxengine.csv,0.01,0.29,0.19,0.79,0.22,0.8,0.33,0.31,0.02,0.56,0.62,0.06,0.15,0.0,0.22,0.0,0.36
emono.csv,0.67,0.39,0.67,0.91,0.59,1.0,0.86,0.57,0.82,0.81,0.88,0.27,0.62,0.67,0.76,1.0,0.45
findbugs.csv,0.32,0.26,0.19,0.76,0.59,0.8,0.48,0.47,0.54,0.5,0.4,0.6,0.75,0.41,0.36,1.0,0.4
hazelcast.csv,0.52,0.51,0.67,0.91,0.65,0.0,0.62,0.5,0.48,0.94,0.31,0.31,0.67,0.64,0.73,0.0,0.83
jedit.csv,0.29,0.23,0.81,0.91,0.65,1.0,0.67,0.55,0.64,0.81,0.69,0.52,0.67,0.51,0.78,0.0,0.98
jmonkeyengine.csv,0.09,0.78,0.24,0.18,0.75,0.3,0.62,0.81,0.24,0.5,0.59,0.96,0.42,0.13,0.16,1.0,0.83
kolmafia.csv,0.8,0.6,0.76,0.97,0.55,0.0,0.62,0.83,0.88,1.0,0.97,0.62,0.67,0.26,0.87,0.0,0.71
lamp.csv,0.17,0.19,0.43,0.55,0.39,0.4,0.62,0.74,0.32,0.69,0.31,0.52,0.33,0.67,0.64,0.0,0.93
lcfizvtop.csv,0.57,0.82,0.57,0.64,0.65,0.0,0.24,0.34,0.56,0.69,0.45,0.29,0.69,0.79,0.8,0.0,0.67
onotoa.csv,0.15,0.04,0.1,0.73,0.45,0.9,0.14,0.3,0.12,0.44,0.47,0.31,0.54,0.05,0.16,0.0,0.1
openintents.csv,0.93,0.98,0.76,0.3,0.61,0.4,0.67,0.67,0.96,0.44,0.6,0.81,0.98,0.79,0.98,1.0,0.6
qlc.csv,0.12,0.21,0.14,0.82,0.49,0.0,0.43,0.37,0.32,0.69,0.09,0.27,0.29,0.62,0.6,0.0,0.31
triplea.csv,0.47,0.47,0.19,0.94,0.65,0.6,0.62,0.45,0.5,0.62,0.62,0.35,0.9,0.79,0.56,0.0,0.62
