,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.7,0.75,0.65,0.3
jlinalg.csv,0.74,0.8,0.64,0.63
qmmp.csv,0.76,0.82,0.63,0.65
yale.csv,0.18,0.43,0.5,0.38
