,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,pcsx2.csv,xqilla.csv,wxjs.csv,ffigo.csv,wikipediardware.csv
enlightenment.csv,0.0,0.0,0.0,0.66,0.4,0.0,0.0,0.55,0.69
ffigo.csv,0.28,0.25,0.22,0.02,0.15,0.38,0.0,0.73,0.0
ildjit.csv,0.51,0.77,0.31,0.3,0.26,0.85,0.0,0.32,0.3
jfreereport.csv,0.16,0.12,0.47,0.28,0.37,0.0,0.15,0.35,0.13
pcsx2.csv,0.28,0.17,0.6,0.63,0.76,0.38,0.0,0.34,0.59
psycle.csv,0.65,0.4,0.71,0.62,0.67,0.36,0.66,0.55,0.49
wikipediardware.csv,0.54,0.42,0.48,0.64,0.59,0.43,0.54,0.52,0.77
wxjs.csv,0.06,0.0,0.07,0.0,0.02,0.0,0.86,0.0,0.0
xqilla.csv,0.38,0.17,0.41,0.11,0.2,0.99,0.59,0.34,0.06
