,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,0.04,0.8,0.1,0.0,0.07,0.46,0.0,0.05,0.05,0.07,0.05,0.0,0.0,0.0,0.0,0.03,0.24
baadengine.csv,0.99,0.2,0.66,1.0,0.68,0.46,0.73,0.88,0.71,0.77,0.75,0.5,0.7,0.88,0.67,0.55,0.59
bibedt.csv,0.48,0.2,0.28,1.0,0.51,0.5,0.5,0.37,0.39,0.33,0.75,0.0,0.9,0.25,0.35,0.34,0.71
exl.csv,0.69,0.2,0.78,1.0,0.85,0.58,0.87,0.83,0.74,0.83,0.55,1.0,0.8,0.88,0.84,0.76,0.95
gdis.csv,0.78,0.6,0.77,1.0,0.88,0.81,0.9,0.87,0.98,0.93,0.85,1.0,0.7,1.0,1.0,0.79,0.88
gogoego.csv,0.55,0.8,0.09,1.0,0.15,0.46,1.0,0.9,0.44,0.33,0.6,0.0,0.5,0.5,0.49,0.69,0.85
httpcontentparser.csv,0.08,0.0,0.15,0.0,0.12,0.23,0.07,0.19,0.06,0.1,1.0,0.0,0.1,0.12,0.19,0.34,0.05
jaxlib.csv,0.0,0.0,0.01,0.0,0.0,0.08,0.03,0.02,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
jgameai.csv,0.04,0.0,0.13,0.0,0.12,0.96,0.97,0.12,0.1,0.3,0.15,0.0,0.0,0.0,0.67,0.03,0.07
jhotdraw.csv,0.28,0.2,0.03,0.0,0.15,0.27,0.03,0.19,0.85,0.27,0.0,0.0,0.1,0.12,0.16,0.34,0.1
loki-lib.csv,0.83,0.2,0.45,1.0,0.68,0.54,0.93,0.73,0.65,0.83,0.6,1.0,0.9,0.62,0.91,0.97,0.2
patterntesting.csv,0.62,0.4,0.44,1.0,0.49,0.46,0.63,0.58,0.69,0.93,0.7,0.5,0.6,0.5,0.86,0.28,0.61
pokeglobal.csv,0.9,0.4,0.74,1.0,0.95,0.42,0.77,0.77,0.76,0.43,0.7,0.5,0.9,0.62,0.81,0.34,0.46
werx.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95
xbg.csv,0.25,0.0,0.08,0.0,0.1,0.0,0.0,0.27,0.1,0.13,0.2,0.0,0.2,0.88,0.26,0.17,0.07
zealos.csv,0.73,0.4,0.75,1.0,0.73,0.5,0.97,0.7,0.45,0.4,0.65,0.5,0.8,0.38,0.61,0.45,0.59
