,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,0.05,0.83,0.12,0.0,0.09,0.49,0.0,0.06,0.06,0.09,0.06,0.0,0.0,0.0,0.0,0.04,0.26
baadengine.csv,0.99,0.21,0.0,0.8,0.55,0.48,0.72,0.63,0.63,0.69,0.67,0.48,0.59,0.83,0.66,0.57,0.64
bibedt.csv,0.5,0.23,0.27,0.92,0.51,0.5,0.54,0.41,0.43,0.37,0.73,0.0,0.92,0.29,0.39,0.38,0.67
exl.csv,0.66,0.22,0.0,0.84,0.72,0.56,0.49,0.56,0.63,0.5,0.51,0.67,0.65,0.74,0.63,0.64,0.96
gdis.csv,0.58,0.51,0.0,0.59,0.7,0.46,0.58,0.34,0.13,0.49,0.69,0.09,0.53,0.69,0.98,0.67,0.56
gogoego.csv,0.48,0.71,0.11,0.82,0.18,0.47,0.0,0.92,0.47,0.38,0.54,0.0,0.46,0.52,0.53,0.57,0.0
httpcontentparser.csv,0.1,0.0,0.18,0.0,0.15,0.27,0.09,0.23,0.07,0.12,1.0,0.0,0.12,0.14,0.22,0.36,0.06
jaxlib.csv,0.0,0.0,0.01,0.0,0.0,0.1,0.04,0.02,0.0,0.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0
jgameai.csv,0.05,0.0,0.16,0.0,0.14,0.97,0.13,0.15,0.12,0.34,0.18,0.0,0.0,0.0,0.4,0.04,0.09
jhotdraw.csv,0.32,0.24,0.04,0.0,0.17,0.3,0.04,0.22,0.88,0.31,0.0,0.0,0.12,0.14,0.19,0.37,0.12
loki-lib.csv,0.79,0.22,0.46,0.82,0.65,0.53,0.47,0.65,0.54,0.78,0.51,0.51,0.27,0.63,0.66,0.98,0.24
patterntesting.csv,0.62,0.43,0.0,0.9,0.52,0.47,0.65,0.59,0.65,0.94,0.66,0.48,0.64,0.54,0.8,0.32,0.65
pokeglobal.csv,0.69,0.38,0.53,0.86,0.96,0.44,0.73,0.65,0.55,0.47,0.61,0.24,0.48,0.63,0.78,0.38,0.51
werx.csv,0.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xbg.csv,0.29,0.0,0.1,0.0,0.12,0.0,0.0,0.31,0.12,0.16,0.23,0.0,0.24,0.9,0.31,0.2,0.09
zealos.csv,0.58,0.38,0.0,0.85,0.59,0.5,0.97,0.63,0.47,0.45,0.63,0.5,0.71,0.42,0.57,0.45,0.61
