,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.66,0.67,0.46,0.21,0.56,0.36,0.36,0.89,0.7,0.93,0.38,0.68,0.67,0.63
encog-cs.csv,0.88,0.67,0.36,0.86,0.75,0.75,0.91,0.89,0.34,0.2,0.98,0.92,0.62,0.74
extprosys.csv,0.67,1.0,0.28,0.79,0.92,0.41,0.18,0.67,0.96,1.0,0.77,0.68,0.88,0.76
ibatisdb.csv,0.02,0.33,0.22,0.14,0.26,0.25,0.0,0.22,0.36,0.32,0.15,0.11,0.06,0.16
intact.csv,0.45,0.67,0.52,0.5,0.52,0.22,0.18,0.33,0.49,0.73,0.51,0.35,0.37,0.44
japano.csv,0.81,1.0,0.75,0.93,0.74,0.82,1.0,0.11,0.96,0.8,0.95,0.89,0.92,0.8
lockss.csv,0.53,0.33,0.4,0.07,0.35,0.3,0.45,0.44,0.11,0.33,0.42,0.57,0.28,0.58
ofbiz.csv,0.75,0.67,0.9,0.5,0.45,0.6,0.45,0.22,0.43,0.22,0.7,0.22,0.43,0.49
officefloor.csv,0.55,0.0,0.22,0.29,0.19,0.15,0.0,0.56,0.29,0.24,0.26,0.08,0.11,0.33
opennms.csv,0.47,1.0,0.01,0.0,0.25,0.07,0.55,0.0,0.15,0.3,0.12,0.3,0.4,0.05
rohxel.csv,0.49,0.33,0.34,0.21,0.32,0.29,0.27,0.22,0.14,0.11,0.18,0.32,0.2,0.55
roolo.csv,0.71,0.67,0.83,0.71,0.82,0.82,0.36,0.56,0.6,0.74,0.92,0.3,0.79,0.7
sevenupdate.csv,0.99,0.0,1.0,1.0,0.92,1.0,1.0,1.0,0.96,0.62,0.99,1.0,0.93,1.0
