,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.88,0.89,0.61,0.62,0.77,0.84,0.78,0.4,0.93,0.91,0.85,0.72
gamestone.csv,0.53,0.61,0.74,0.88,0.94,0.67,0.45,0.86,0.38,0.5,0.96,0.79
geochat.csv,0.67,0.69,0.67,0.88,0.72,0.86,0.55,0.88,0.92,0.69,0.98,0.67
igarden.csv,0.61,0.46,0.79,0.52,0.64,0.44,0.63,0.34,0.84,0.8,0.56,0.66
ingex.csv,0.62,0.59,0.59,0.42,0.58,0.41,0.5,0.42,0.46,0.44,0.46,0.71
lphant.csv,0.44,0.44,0.39,0.32,0.4,0.33,0.3,0.36,0.36,0.53,0.39,0.38
nabu-library.csv,0.78,0.67,0.98,0.95,0.54,0.36,0.75,0.91,0.0,0.5,0.55,0.74
nebuladevice.csv,0.92,0.5,0.0,0.58,0.75,0.91,0.96,0.88,0.57,0.72,0.64,0.8
owlapi.csv,0.91,0.94,0.6,0.76,0.52,0.44,0.86,0.44,0.92,0.68,0.59,0.59
pi-qmc.csv,0.48,0.45,0.43,0.39,0.44,0.46,0.38,0.37,0.36,0.52,0.58,0.37
trinitycore.csv,0.55,0.36,0.89,0.52,0.79,0.76,0.73,0.88,0.43,0.63,0.55,0.89
twostep.csv,0.5,0.41,0.46,0.33,0.58,0.33,0.43,0.39,0.39,0.5,0.44,0.44
