,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.08,0.22,0.16,0.45,0.36,0.2,0.28,0.42,0.14,0.27,0.18,0.22
gamestone.csv,0.47,0.3,0.17,0.29,0.56,1.0,0.35,0.43,0.23,1.0,0.22,0.31
geochat.csv,0.0,0.14,0.0,0.62,0.63,0.29,0.27,0.25,0.17,0.14,0.2,0.41
igarden.csv,0.22,0.46,0.14,0.45,0.62,0.38,0.32,0.4,0.16,0.7,0.33,0.24
ingex.csv,0.31,0.44,0.21,0.31,0.51,0.53,0.4,0.42,0.17,0.33,0.32,0.29
lphant.csv,0.38,0.38,0.2,0.32,0.64,0.47,0.5,0.6,0.25,0.68,0.35,0.28
nabu-library.csv,0.17,0.3,0.14,0.15,0.8,0.37,0.25,0.55,0.0,0.5,0.25,0.24
nebuladevice.csv,0.17,0.5,0.0,0.23,0.45,0.55,0.07,0.25,0.37,0.4,0.25,0.0
owlapi.csv,0.0,0.35,0.36,0.24,0.79,0.44,0.86,0.36,0.15,0.27,0.21,0.28
pi-qmc.csv,0.33,0.28,0.19,0.26,0.65,0.36,0.38,0.43,0.19,0.7,0.21,0.26
trinitycore.csv,0.14,0.34,0.11,0.24,0.33,0.35,0.18,0.75,0.3,0.33,0.38,0.33
twostep.csv,0.36,0.41,0.23,0.33,0.43,0.42,0.75,0.46,0.18,0.58,0.3,0.26
