,ifmo-game-1.csv,voms.csv,fm-classic.csv,foursquared.csv,micomt.csv,xpontus.csv
fm-classic.csv,0.0,0.0,0.67,0.0,0.0,0.0
foursquared.csv,0.92,0.5,0.8,0.58,0.83,0.76
ifmo-game-1.csv,0.83,0.0,0.5,0.0,0.0,0.0
micomt.csv,0.79,0.86,0.86,0.52,0.92,0.69
voms.csv,0.67,0.89,0.0,0.67,0.0,0.8
