,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.56,0.44,0.0,0.69,0.5,0.29,0.5,0.47,0.55,0.67,0.68,0.58,0.45,0.86
awemud.csv,0.69,0.22,0.47,0.6,0.73,0.6,0.48,0.75,0.71,0.67,0.61,0.58,0.46,0.95
buddata-ebxml-registry.csv,0.96,0.98,1.0,0.98,1.0,1.0,1.0,1.0,0.94,1.0,0.97,1.0,0.93,1.0
cornerstone.csv,0.12,0.24,0.0,0.11,0.55,0.04,0.1,0.03,0.69,0.17,0.13,0.47,0.28,0.36
firebreath.csv,0.62,0.2,0.07,0.52,0.42,0.4,0.65,0.22,0.86,0.17,0.32,0.42,0.22,0.73
lsb.csv,0.69,0.76,0.87,0.69,0.7,0.65,0.4,0.38,0.59,0.61,0.79,0.84,0.28,0.95
maya-work-in-progress.csv,0.74,0.82,0.6,0.75,0.95,0.79,0.63,0.91,0.98,0.67,0.76,0.95,0.87,0.95
mia.csv,0.15,0.13,0.8,0.25,0.05,0.42,0.27,0.56,0.47,0.61,0.39,0.11,0.07,0.41
open-beos.csv,0.82,0.04,0.8,0.67,0.36,0.61,0.32,0.47,0.37,0.5,0.71,0.21,0.37,0.91
qgis.csv,0.68,0.11,0.87,0.61,0.47,0.6,0.53,0.62,0.8,0.89,0.58,0.74,0.54,0.77
rocrail.csv,0.6,0.07,0.47,0.5,0.41,0.35,0.55,0.53,0.53,0.33,0.55,0.47,0.75,0.86
rtb-team.csv,0.53,0.0,0.8,0.24,0.02,0.2,0.07,0.12,0.35,0.06,0.16,0.32,0.34,0.36
tradelink.csv,0.46,0.18,0.2,0.26,0.41,0.31,0.15,0.19,0.22,0.44,0.21,0.68,0.64,0.09
upp-mirror.csv,0.51,0.22,0.2,0.35,0.67,0.4,0.47,0.34,0.31,0.67,0.32,0.58,0.54,0.73
