,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.43,0.1,0.03,0.32,0.49,0.16,0.4,0.09,0.66,0.44,0.31,0.56,0.5,0.57
awemud.csv,0.37,0.44,0.3,0.44,0.59,0.37,0.21,0.28,0.68,0.52,0.4,0.55,0.0,0.54
buddata-ebxml-registry.csv,0.93,0.7,0.86,0.97,0.85,0.98,0.99,0.98,0.91,0.91,1.0,1.0,0.0,0.95
cornerstone.csv,0.0,0.08,0.0,0.05,0.39,0.01,0.02,0.0,0.28,0.17,0.09,0.34,0.0,0.08
firebreath.csv,0.27,0.64,0.16,0.24,0.2,0.19,0.27,0.0,0.83,0.11,0.26,0.31,0.0,0.29
lsb.csv,0.4,0.1,0.73,0.55,0.49,0.53,0.33,0.11,0.53,0.45,0.86,0.79,0.0,0.68
maya-work-in-progress.csv,0.57,0.64,0.11,0.58,0.88,0.71,0.48,0.21,0.94,0.61,0.49,0.78,0.5,0.68
mia.csv,0.17,0.01,0.95,0.28,0.07,0.32,0.21,0.23,0.43,0.22,0.31,0.14,0.25,0.32
open-beos.csv,0.43,0.02,0.54,0.4,0.32,0.22,0.07,0.11,0.28,0.44,0.43,0.16,0.0,0.38
qgis.csv,0.63,0.32,0.68,0.23,0.41,0.53,0.55,0.28,0.79,0.89,0.49,0.48,0.5,0.41
rocrail.csv,0.23,0.0,0.51,0.31,0.24,0.09,0.45,0.11,0.34,0.49,0.34,0.34,0.5,0.22
rtb-team.csv,0.43,0.01,0.11,0.08,0.05,0.11,0.04,0.04,0.32,0.12,0.0,0.16,1.0,0.16
tradelink.csv,0.5,0.31,0.11,0.08,0.34,0.22,0.16,0.06,0.21,0.89,0.51,0.39,0.5,0.1
upp-mirror.csv,0.53,0.0,0.38,0.2,0.39,0.26,0.25,0.11,0.19,0.59,0.29,0.27,0.5,0.22
