,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.56,0.49,0.0,0.69,0.5,0.33,0.52,0.52,0.49,0.64,0.68,0.55,0.46,0.72
awemud.csv,0.68,0.25,0.5,0.59,0.63,0.61,0.52,0.74,0.57,0.62,0.61,0.55,0.52,0.78
buddata-ebxml-registry.csv,0.27,0.67,0.45,0.13,0.47,0.09,0.05,0.09,0.33,0.33,0.0,0.0,0.94,0.21
cornerstone.csv,0.15,0.28,0.0,0.13,0.56,0.05,0.12,0.04,0.7,0.2,0.16,0.5,0.33,0.41
firebreath.csv,0.64,0.22,0.09,0.56,0.46,0.45,0.66,0.26,0.47,0.2,0.36,0.46,0.26,0.73
lsb.csv,0.67,0.78,0.6,0.62,0.65,0.6,0.44,0.43,0.56,0.6,0.41,0.52,0.33,0.68
maya-work-in-progress.csv,0.65,0.65,0.64,0.65,0.4,0.59,0.6,0.88,0.24,0.59,0.69,0.57,0.76,0.68
mia.csv,0.18,0.16,0.2,0.29,0.06,0.45,0.31,0.59,0.49,0.64,0.43,0.13,0.09,0.45
open-beos.csv,0.75,0.05,0.7,0.65,0.4,0.64,0.37,0.52,0.41,0.51,0.68,0.25,0.42,0.83
qgis.csv,0.58,0.13,0.65,0.64,0.49,0.57,0.51,0.64,0.51,0.37,0.56,0.68,0.53,0.73
rocrail.csv,0.63,0.09,0.47,0.53,0.45,0.4,0.55,0.58,0.55,0.36,0.57,0.5,0.68,0.84
rtb-team.csv,0.54,0.0,0.82,0.28,0.02,0.24,0.09,0.15,0.39,0.07,0.19,0.37,0.0,0.41
tradelink.csv,0.47,0.21,0.24,0.3,0.44,0.35,0.18,0.23,0.26,0.27,0.24,0.66,0.61,0.11
upp-mirror.csv,0.5,0.26,0.23,0.39,0.66,0.44,0.51,0.39,0.35,0.59,0.36,0.6,0.53,0.74
