,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.37,0.53,0.0,0.43,0.4,0.72,0.41,0.58,0.4,0.41,0.43,0.43,0.56,0.42
awemud.csv,0.37,0.86,0.61,0.43,0.31,0.44,0.47,0.49,0.34,0.39,0.43,0.43,0.42,0.39
buddata-ebxml-registry.csv,0.4,0.53,0.4,0.4,0.35,0.4,0.41,0.46,0.31,0.39,0.42,0.32,0.34,0.41
cornerstone.csv,0.89,0.95,0.0,0.92,0.39,0.88,0.88,0.0,0.43,0.82,0.88,0.54,0.58,0.93
firebreath.csv,0.48,0.79,0.86,0.62,0.63,0.7,0.55,0.86,0.35,0.95,0.57,0.59,0.67,0.46
lsb.csv,0.33,0.52,0.42,0.52,0.32,0.52,0.5,0.76,0.46,0.46,0.43,0.39,0.74,0.37
maya-work-in-progress.csv,0.36,0.54,0.54,0.39,0.36,0.39,0.39,0.44,0.32,0.35,0.41,0.35,0.33,0.39
mia.csv,0.94,0.88,0.43,0.8,0.83,0.57,0.89,0.55,0.42,0.82,0.73,0.92,0.83,0.57
open-beos.csv,0.35,0.8,0.44,0.46,0.47,0.5,0.85,0.65,0.52,0.51,0.4,0.88,0.48,0.34
qgis.csv,0.42,0.98,0.42,0.51,0.62,0.45,0.55,0.55,0.37,0.43,0.49,0.55,0.53,0.38
rocrail.csv,0.43,0.67,0.46,0.43,0.47,0.7,0.5,0.55,0.55,0.47,0.42,0.51,0.33,0.41
rtb-team.csv,0.37,0.0,0.5,0.81,0.67,0.92,0.88,0.83,0.62,0.95,0.83,0.89,0.74,0.67
tradelink.csv,0.61,0.98,0.86,0.93,0.72,0.84,0.96,0.89,0.95,0.47,0.77,0.6,0.47,0.9
upp-mirror.csv,0.48,0.9,0.71,0.6,0.37,0.56,0.54,0.75,0.79,0.44,0.55,0.66,0.53,0.44
