,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,0.91,0.47,0.98,0.85,0.5,0.93,0.98,0.9,0.0,0.92,0.76,0.72,1.0,0.75,0.0,0.0,0.65
beast-mcmc.csv,0.57,0.86,0.71,0.81,0.53,0.61,0.48,0.51,0.58,0.47,0.58,0.54,0.47,0.61,0.95,0.57,0.39
bscwweasel.csv,0.0,0.75,0.88,0.94,0.0,0.5,0.98,0.9,0.0,0.75,0.86,0.0,0.99,0.0,0.0,0.0,0.0
codeblocks.csv,0.42,0.5,0.67,0.59,0.46,0.45,0.43,0.48,0.34,0.47,0.51,0.43,0.5,0.37,0.37,0.39,0.43
gamestone.csv,0.92,0.88,0.79,0.94,0.88,0.96,0.98,0.95,0.75,0.91,0.83,0.78,0.97,0.93,0.5,0.8,0.87
iaml.csv,0.65,0.61,0.39,0.63,0.45,0.54,0.46,0.52,0.4,0.53,0.57,0.38,0.46,0.42,0.38,0.44,0.33
jbasic.csv,0.69,0.5,0.98,0.89,0.8,0.97,0.83,0.95,0.88,0.57,0.89,0.67,0.88,0.97,0.67,0.75,0.52
modplug.csv,0.5,0.54,0.42,0.49,0.35,0.49,0.38,0.49,0.56,0.48,0.46,0.41,0.47,0.36,0.38,0.42,0.33
pdfedit.csv,0.58,0.75,0.7,0.93,0.54,0.78,0.99,0.64,0.8,0.48,0.83,0.54,0.74,0.53,0.97,0.8,0.41
redshell.csv,0.47,0.45,0.37,0.46,0.36,0.5,0.36,0.47,0.49,0.43,0.41,0.38,0.43,0.36,0.36,0.38,0.31
sabbu.csv,0.51,0.67,0.61,0.8,0.59,0.65,0.76,0.6,0.6,0.58,0.62,0.52,0.55,0.6,0.37,0.7,0.62
silvertree.csv,0.75,0.47,0.98,0.98,0.92,0.96,0.93,0.68,0.9,0.62,0.96,0.6,1.0,0.94,0.93,0.79,0.87
t-2.csv,0.81,0.75,0.97,0.87,0.72,0.8,0.82,0.98,0.72,0.93,0.85,0.79,0.99,0.7,0.72,0.67,0.89
xinity.csv,0.46,0.89,0.44,0.58,0.67,0.55,0.61,0.61,0.86,0.58,0.59,0.77,0.64,0.67,0.37,0.92,0.4
xreal.csv,0.0,0.0,0.91,0.0,0.0,0.0,0.5,0.88,0.0,0.91,0.0,0.0,0.0,0.8,0.0,0.67,0.0
zabbix.csv,0.49,0.46,0.39,0.57,0.45,0.42,0.48,0.48,0.41,0.45,0.42,0.4,0.46,0.43,0.69,0.39,0.29
zengine.csv,0.38,0.38,0.33,0.43,0.36,0.4,0.37,0.4,0.41,0.42,0.42,0.36,0.44,0.36,0.32,0.36,0.3
