,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,0.07,0.38,0.17,0.25,0.05,0.09,0.89,0.05,0.0,0.1,0.21,0.32,0.13,0.2,0.0,0.02,0.32
beast-mcmc.csv,0.76,0.12,0.95,0.4,0.51,0.5,0.72,0.63,0.26,0.37,0.48,0.4,0.59,0.4,0.26,0.51,0.54
bscwweasel.csv,0.0,0.12,0.06,0.9,0.0,0.02,0.04,0.05,0.0,0.03,0.01,0.0,0.16,0.0,0.0,0.0,0.0
codeblocks.csv,0.59,0.38,0.33,0.35,0.67,0.98,0.79,0.84,0.63,0.35,0.26,0.76,0.43,1.0,0.57,0.84,0.41
gamestone.csv,0.12,1.0,0.18,0.15,0.09,0.17,0.15,0.1,0.08,0.21,0.21,0.2,0.1,0.0,0.03,0.24,0.17
iaml.csv,0.53,0.62,0.73,0.6,0.84,0.66,0.7,0.52,0.58,0.44,0.97,0.76,0.81,0.6,0.54,0.55,0.73
jbasic.csv,0.34,0.0,0.35,0.1,0.09,0.16,0.04,0.1,0.21,0.92,0.12,0.08,0.17,0.0,0.05,0.07,0.51
modplug.csv,0.66,0.38,0.8,0.9,0.79,0.46,0.91,0.72,0.74,0.62,0.76,0.72,0.99,1.0,0.72,1.0,0.66
pdfedit.csv,0.53,0.12,0.29,0.1,0.95,0.3,0.38,0.33,0.13,0.87,0.17,0.56,0.21,1.0,0.32,0.31,0.61
redshell.csv,0.91,1.0,0.86,0.8,0.95,0.76,0.94,1.0,0.79,1.0,0.89,1.0,0.85,1.0,1.0,0.98,0.88
sabbu.csv,0.95,0.0,0.64,0.4,0.63,0.34,0.4,0.42,0.37,0.67,0.45,0.52,0.61,0.8,0.55,0.27,0.44
silvertree.csv,0.03,0.62,0.15,0.15,0.4,0.16,0.06,0.31,0.26,0.62,0.16,1.0,0.09,0.2,0.08,0.18,0.24
t-2.csv,0.34,0.38,0.08,0.1,0.47,0.37,0.45,0.28,0.39,0.14,0.46,0.36,0.92,0.8,0.25,0.4,0.12
xinity.csv,0.6,0.25,0.64,0.45,0.26,0.47,0.32,0.4,0.13,0.7,0.71,0.2,0.41,0.8,0.38,0.15,1.0
xreal.csv,0.02,0.0,0.03,0.0,0.0,0.01,0.0,0.04,0.0,0.11,0.0,0.04,0.01,1.0,0.0,0.02,0.02
zabbix.csv,0.9,0.88,0.94,0.55,0.6,0.89,0.7,0.84,0.97,0.94,0.92,1.0,0.58,0.6,0.95,0.87,0.95
zengine.csv,0.78,0.88,0.97,0.95,0.84,0.85,0.91,0.74,0.97,0.95,0.68,0.84,1.0,1.0,0.78,0.84,0.95
