,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,0.12,0.26,0.19,0.13,0.09,0.17,0.93,0.1,0.0,0.16,0.3,0.37,0.08,0.22,0.0,0.04,0.41
beast-mcmc.csv,0.63,0.09,0.98,0.29,0.53,0.6,0.21,0.76,0.4,0.45,0.54,0.41,0.23,0.04,0.39,0.59,0.59
bscwweasel.csv,0.0,0.17,0.11,0.95,0.0,0.03,0.04,0.1,0.0,0.06,0.03,0.0,0.18,0.0,0.0,0.0,0.0
codeblocks.csv,0.58,0.23,0.37,0.26,0.59,0.98,0.21,0.9,0.72,0.46,0.35,0.57,0.26,0.06,0.39,0.77,0.48
gamestone.csv,0.2,1.0,0.2,0.16,0.16,0.29,0.11,0.18,0.14,0.31,0.33,0.29,0.09,0.0,0.06,0.37,0.25
iaml.csv,0.48,0.32,0.43,0.27,0.67,0.7,0.27,0.68,0.7,0.52,0.97,0.58,0.24,0.04,0.42,0.58,0.67
jbasic.csv,0.44,0.0,0.43,0.14,0.17,0.26,0.08,0.18,0.35,0.92,0.19,0.14,0.13,0.0,0.09,0.14,0.62
modplug.csv,0.62,0.14,0.47,0.26,0.63,0.59,0.26,0.82,0.78,0.52,0.66,0.52,0.25,0.05,0.49,1.0,0.63
pdfedit.csv,0.58,0.17,0.26,0.12,0.98,0.45,0.31,0.5,0.23,0.63,0.26,0.55,0.13,0.1,0.42,0.45,0.64
redshell.csv,0.64,0.24,0.42,0.25,0.65,0.74,0.2,1.0,0.76,0.66,0.69,0.59,0.26,0.05,0.57,0.81,0.72
sabbu.csv,0.97,0.0,0.53,0.26,0.64,0.49,0.22,0.58,0.53,0.65,0.53,0.52,0.22,0.1,0.44,0.4,0.54
silvertree.csv,0.06,0.25,0.18,0.09,0.51,0.27,0.1,0.46,0.42,0.63,0.27,1.0,0.05,0.09,0.13,0.25,0.36
t-2.csv,0.36,0.15,0.1,0.04,0.51,0.48,0.27,0.43,0.48,0.23,0.53,0.37,0.96,0.1,0.24,0.52,0.2
xinity.csv,0.62,0.24,0.38,0.21,0.3,0.61,0.12,0.56,0.22,0.58,0.69,0.26,0.18,0.12,0.29,0.24,0.99
xreal.csv,0.03,0.0,0.05,0.0,0.0,0.02,0.0,0.08,0.0,0.19,0.0,0.08,0.02,1.0,0.0,0.03,0.05
zabbix.csv,0.66,0.24,0.47,0.16,0.53,0.81,0.26,0.89,0.85,0.65,0.7,0.6,0.16,0.04,0.98,0.76,0.74
zengine.csv,0.67,0.28,0.46,0.25,0.64,0.8,0.24,0.83,0.99,0.74,0.65,0.56,0.22,0.06,0.52,0.76,0.74
