,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.27,1.0,0.17,0.65,0.69,0.8,0.56,0.93,0.0,0.01,0.73,0.2
ivatamasks.csv,0.26,1.0,0.07,0.84,0.66,0.82,0.5,0.73,0.56,0.01,0.69,0.96
orc.csv,0.12,1.0,0.33,0.71,0.5,0.86,0.61,0.0,0.0,0.02,0.79,0.5
plato.csv,0.27,0.99,0.09,0.71,0.65,0.97,0.45,0.8,0.56,0.01,0.73,0.96
proftp.csv,0.0,1.0,0.15,0.57,0.91,0.8,0.7,0.9,0.0,0.04,0.84,0.0
tycho.csv,0.08,0.99,0.15,0.67,0.72,0.92,0.33,0.67,0.79,0.02,0.69,0.93
uclmda.csv,0.0,1.0,0.0,0.0,0.65,0.67,0.31,1.0,0.54,0.0,0.44,1.0
umber.csv,0.71,0.99,0.1,0.74,0.64,0.84,0.48,0.69,0.31,0.01,0.81,0.97
unicase.csv,0.5,0.99,0.14,0.66,0.66,0.85,0.47,0.86,0.57,0.01,0.83,0.43
vienna-add-in.csv,0.34,0.98,0.08,0.68,0.82,0.85,0.0,0.7,0.6,0.0,0.62,1.0
wpdev.csv,0.26,1.0,0.1,0.68,0.66,0.84,0.45,0.74,0.56,0.01,0.73,0.96
