,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.36,0.44,0.54,0.46,0.82,0.51,0.37,0.37,0.0,0.53,0.42,0.8
ivatamasks.csv,0.34,0.48,0.36,0.38,0.41,0.73,0.47,0.31,0.4,0.4,0.45,0.26
orc.csv,0.88,0.43,0.64,0.57,0.95,0.43,0.32,0.0,0.0,0.51,0.61,0.83
plato.csv,0.36,0.39,0.32,0.5,0.46,0.53,0.41,0.57,0.4,0.38,0.4,0.26
proftp.csv,0.67,0.65,0.93,0.86,0.91,0.4,0.36,0.77,0.0,0.75,0.6,0.0
tycho.csv,0.84,0.52,0.97,0.68,0.72,0.92,0.72,0.82,0.52,0.54,0.52,0.81
uclmda.csv,0.5,0.0,0.89,0.0,0.72,0.83,0.92,0.0,0.5,0.88,0.98,0.27
umber.csv,0.52,0.37,0.29,0.41,0.45,0.42,0.38,0.34,0.69,0.35,0.36,0.26
unicase.csv,0.47,0.39,0.36,0.43,0.68,0.44,0.42,0.42,0.54,0.44,0.42,0.86
vienna-add-in.csv,0.54,0.57,0.39,0.54,0.58,0.58,0.5,0.37,0.57,0.65,0.67,0.33
wpdev.csv,0.34,0.39,0.29,0.43,0.42,0.42,0.4,0.31,0.4,0.38,0.39,0.28
