,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.42,0.83,0.28,0.76,0.55,0.73,0.65,0.88,0.0,0.02,0.82,0.01
ivatamasks.csv,0.41,0.83,0.12,0.8,0.79,0.34,0.53,0.81,0.71,0.02,0.72,0.98
orc.csv,0.07,0.64,0.48,0.6,0.19,0.78,0.73,0.0,0.0,0.04,0.48,0.04
plato.csv,0.42,0.99,0.15,0.72,0.74,0.9,0.62,0.56,0.71,0.02,0.83,0.98
proftp.csv,0.0,0.4,0.19,0.31,0.21,0.6,0.73,0.42,0.0,0.07,0.53,0.0
tycho.csv,0.09,0.67,0.2,0.58,0.46,0.41,0.25,0.33,0.76,0.03,0.69,0.39
uclmda.csv,0.0,0.01,0.0,0.0,0.44,0.17,0.19,0.02,0.48,0.0,0.07,1.0
umber.csv,0.75,0.83,0.19,0.84,0.62,0.91,0.64,0.71,0.2,0.02,0.74,0.98
unicase.csv,0.63,0.96,0.24,0.77,0.48,0.84,0.64,0.77,0.64,0.02,0.8,0.04
vienna-add-in.csv,0.47,0.72,0.14,0.68,0.76,0.65,0.0,0.72,0.6,0.0,0.48,0.84
wpdev.csv,0.41,1.0,0.19,0.81,0.78,0.91,0.62,0.82,0.72,0.02,0.84,0.95
