,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,nativeclient.csv,libarchive.csv
acdk.csv,0.62,0.8,0.94,0.96,0.96,0.87,0.4,0.75,0.28,0.92,0.56,0.85,0.32,0.63,0.62,0.8,0.57,0.54,0.72,0.68
amygdala.csv,0.68,0.97,0.74,0.93,0.99,0.88,0.6,0.81,0.85,0.73,0.72,0.46,0.84,0.73,0.82,0.92,0.8,0.64,0.97,1.0
awemud.csv,0.5,0.35,0.72,0.94,0.54,0.85,0.45,0.62,0.69,1.0,0.72,0.56,0.69,0.57,0.66,0.79,0.68,0.74,0.85,0.56
bullet.csv,0.68,0.71,0.92,0.45,0.88,0.46,0.56,0.7,0.52,1.0,0.87,0.62,0.69,0.88,0.68,0.73,0.76,0.78,0.67,0.61
customwars.csv,0.55,0.7,0.87,0.84,0.87,0.63,0.6,0.83,0.27,1.0,0.61,0.73,0.36,0.62,0.83,0.51,0.75,0.75,0.83,0.6
dvd-create.csv,0.64,0.75,0.72,1.03,0.24,0.46,0.88,0.59,0.61,1.0,0.85,0.52,0.88,0.66,0.67,0.86,0.81,0.95,0.63,0.6
gbif-indexingtoolkit.csv,0.71,0.71,0.72,0.99,0.84,0.93,0.69,0.59,0.93,1.0,0.75,0.81,0.61,0.7,0.68,1.04,0.73,0.66,0.85,0.91
go.csv,0.69,0.35,0.46,0.95,0.75,0.59,0.48,0.86,0.57,1.0,0.87,0.67,0.44,0.5,0.76,0.62,0.78,0.3,0.53,0.56
growl-for-windows.csv,0.43,1.0,0.8,1.0,0.99,1.0,0.54,0.84,1.0,1.0,0.93,0.62,1.0,0.81,0.8,0.78,0.88,0.33,1.0,0.88
gss.csv,0.69,0.86,0.79,0.29,0.43,0.78,0.45,0.75,0.45,1.0,0.84,0.67,0.6,0.78,0.96,0.42,0.64,0.91,0.64,0.58
kwave.csv,0.59,1.0,0.56,1.0,0.89,0.62,0.61,0.7,0.52,0.75,0.87,0.81,0.82,0.77,0.85,0.45,0.52,0.89,0.8,0.91
libarchive.csv,0.57,0.5,0.71,0.89,0.47,0.66,0.73,0.94,0.39,1.0,0.8,0.6,0.45,0.9,0.96,0.58,0.8,0.6,0.57,0.45
linux-ntfs.csv,0.55,0.66,0.81,0.32,0.46,0.52,0.68,0.62,0.67,0.94,0.75,0.64,0.63,0.71,0.84,0.66,0.54,1.04,0.65,0.53
lsb.csv,0.48,0.81,0.9,0.34,0.95,0.6,0.63,0.64,0.27,1.0,0.9,0.85,0.45,0.67,0.85,0.95,0.76,0.62,0.63,0.52
mpgravity.csv,0.8,0.46,0.81,0.92,0.84,0.77,0.93,0.9,1.0,0.35,1.0,0.89,1.0,0.76,0.82,1.0,0.93,0.73,0.55,0.83
nativeclient.csv,0.63,0.5,0.61,0.94,0.55,0.68,0.54,0.72,0.51,0.44,0.54,0.64,0.4,0.45,0.74,0.51,0.73,0.56,0.46,0.55
qcad2.csv,0.64,0.68,0.64,0.96,0.82,0.7,0.42,0.66,0.24,0.48,0.54,0.76,0.38,0.6,0.7,0.47,0.72,0.89,0.58,0.5
qtwin.csv,0.93,1.0,1.0,1.0,1.0,0.97,0.92,0.69,0.09,0.84,0.78,0.92,0.87,0.63,0.73,0.83,0.69,0.95,0.93,1.0
roller.csv,0.67,0.98,0.73,1.0,1.0,0.81,0.83,0.68,1.0,0.55,0.73,0.84,0.88,0.36,0.82,0.79,1.0,0.73,0.91,1.0
xinity.csv,0.96,1.01,0.56,1.13,0.97,0.79,0.84,0.59,1.08,1.0,0.73,0.83,1.03,0.69,0.52,0.82,0.96,0.81,0.98,1.01
