,zealos.csv,openintents.csv,atomsite.csv,bullet.csv,tktoolkit.csv,pokenetonline.csv
atomsite.csv,0.52,0.85,0.49,0.56,0.71,0.73
bullet.csv,0.91,0.76,0.76,0.4,0.67,0.72
openintents.csv,0.94,0.46,0.9,0.76,0.93,0.77
pokenetonline.csv,1.0,0.86,0.98,1.01,0.94,0.4
tktoolkit.csv,1.0,0.91,0.79,0.49,0.5,0.83
zealos.csv,0.45,1.0,0.92,0.84,0.66,0.7
