,recall,precision,pf,pci_20,ifa,wins
cleartk.csv,0.63,0.36,0.6,0.43,0.0,10
encog-cs.csv,0.6,0.34,0.66,0.5,1.0,5
extprosys.csv,0.82,0.35,0.71,0.44,1.0,8
ibatisdb.csv,0.36,0.4,0.33,0.57,2.0,11
intact.csv,0.63,0.38,0.57,0.42,1.0,9
japano.csv,0.83,0.35,0.83,0.42,1.0,4
lockss.csv,0.64,0.39,0.54,0.46,3.0,3
ofbiz.csv,0.76,0.35,0.65,0.43,2.0,0
officefloor.csv,0.3,0.35,0.27,0.56,2.0,7
opennms.csv,0.24,0.41,0.19,0.64,0.0,12
rohxel.csv,0.26,0.44,0.16,0.75,1.0,13
roolo.csv,0.7,0.34,0.77,0.5,1.0,6
sevenupdate.csv,1.0,0.35,1.0,0.39,1.0,2
web-cat.csv,0.83,0.35,0.79,0.47,2.0,1
