,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.65,0.55,0.81,0.42
k3b.csv,0.79,0.48,0.72,0.84
mp-rechnungs-und-kundenverwaltung.csv,0.89,0.73,0.58,0.72
thrust.csv,0.46,0.85,0.91,0.87
