,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.28,0.42,0.8,0.27
k3b.csv,0.45,0.33,0.71,0.82
mp-rechnungs-und-kundenverwaltung.csv,0.09,0.04,0.36,0.14
thrust.csv,0.21,0.08,0.16,0.09
