,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.24,0.37,0.03,0.71,0.06,0.3,0.44,0.75,0.31,0.0,0.8,0.96,0.53,0.77,0.19
calcubetimer.csv,0.48,0.26,0.99,0.14,0.88,1.0,0.78,0.0,0.08,0.0,0.5,0.37,0.26,0.55,0.83
chaosrts.csv,0.29,0.93,1.0,0.21,0.42,1.0,0.67,0.5,0.38,1.0,0.15,0.37,0.16,0.61,0.69
emono.csv,0.43,0.59,0.14,0.79,0.86,0.95,0.11,1.0,1.0,0.0,0.57,0.89,0.95,0.9,0.33
freelords.csv,0.71,0.81,0.95,0.46,0.66,0.66,0.78,0.5,0.69,1.0,0.8,0.56,0.58,0.84,0.86
jmonkeyengine.csv,0.38,0.37,0.01,0.86,0.26,0.11,0.67,0.75,0.15,1.0,0.48,0.44,0.47,0.68,0.95
jython.csv,0.86,0.74,0.17,0.96,0.72,0.4,0.56,0.0,1.0,1.0,0.48,0.74,1.0,0.45,0.62
mclient-mume.csv,0.19,0.15,0.76,0.07,0.3,0.0,0.56,0.0,0.23,1.0,0.38,0.26,0.16,0.29,0.38
papertoolkit.csv,0.29,0.0,0.09,0.18,0.14,0.08,0.11,0.25,0.23,0.0,0.18,0.15,0.37,0.32,0.19
primefaces.csv,0.67,1.0,1.0,0.46,0.94,1.0,1.0,0.75,0.77,1.0,0.95,0.26,1.0,0.81,1.0
st-filteredstatistics.csv,0.9,1.0,0.99,0.82,0.88,0.86,0.89,0.75,0.31,1.0,0.77,0.93,0.95,0.97,1.0
toped.csv,0.9,0.52,0.95,0.46,0.78,0.75,0.0,1.0,0.92,1.0,0.8,0.89,0.95,0.97,0.62
triplea.csv,0.29,0.33,0.09,0.75,0.64,0.55,0.44,1.0,0.92,0.0,0.6,0.81,0.95,0.97,0.5
web-cat.csv,0.76,0.26,0.03,0.61,0.84,0.18,0.44,0.75,0.54,1.0,0.63,0.44,0.79,0.29,0.74
