,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.19,0.53,0.23,0.66,0.06,0.62,0.65,0.23,0.41,0.3,1.0,0.8,0.63,0.74,0.18
calcubetimer.csv,0.59,0.03,1.0,0.15,1.0,1.0,0.8,0.86,0.15,0.23,0.67,0.28,0.25,0.58,0.92
chaosrts.csv,0.34,0.93,0.91,0.47,0.61,1.0,0.61,0.41,0.59,0.73,0.0,0.45,0.79,0.68,0.57
emono.csv,0.56,0.4,0.91,0.76,0.78,1.0,0.49,0.93,0.9,0.68,0.33,0.75,0.81,1.0,0.72
freelords.csv,0.88,0.97,0.82,0.67,0.72,0.81,0.94,0.62,0.82,0.85,0.67,0.62,0.94,0.84,0.8
jmonkeyengine.csv,0.28,0.77,0.14,0.7,0.72,0.22,0.88,0.05,0.13,0.87,1.0,0.48,0.47,0.89,0.88
jython.csv,0.84,0.7,0.95,0.94,0.83,0.27,0.8,0.5,0.95,0.77,0.0,0.7,0.91,0.32,0.78
mclient-mume.csv,0.19,0.87,0.59,0.13,0.56,0.0,0.76,0.12,0.33,0.82,0.67,0.4,0.33,0.37,0.31
papertoolkit.csv,0.28,0.03,0.64,0.14,0.17,0.14,0.51,0.25,0.13,0.24,1.0,0.2,0.15,0.21,0.39
primefaces.csv,0.81,1.0,1.0,0.72,1.0,1.0,1.0,0.89,0.72,1.0,0.67,0.78,1.0,0.95,1.0
st-filteredstatistics.csv,0.81,0.97,1.0,0.95,0.78,0.81,0.92,0.84,0.79,0.97,0.67,0.92,0.99,0.95,0.99
toped.csv,1.0,0.5,0.77,0.48,0.67,0.68,0.76,0.95,0.87,0.59,0.67,0.9,0.9,1.0,0.81
triplea.csv,0.78,0.73,0.68,0.87,0.78,0.68,0.82,0.96,1.0,0.57,0.67,0.88,0.91,1.0,0.7
web-cat.csv,0.78,0.23,0.18,0.53,0.94,0.11,0.63,0.88,0.44,0.84,1.0,0.42,0.87,0.68,0.86
