,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.83,0.83,0.88,0.07,0.65,0.38,0.18,0.89,0.98,0.87,0.88,0.41,0.77,0.47
encog-cs.csv,0.62,0.67,0.28,0.86,0.73,0.62,1.0,0.89,0.01,0.64,0.65,0.95,0.49,0.89
extprosys.csv,0.95,0.67,0.01,0.86,0.91,0.73,0.64,0.78,0.95,0.93,0.83,0.89,0.91,0.9
ibatisdb.csv,0.14,0.17,0.15,0.29,0.26,0.27,0.64,0.22,0.04,0.29,0.1,0.38,0.15,0.0
intact.csv,0.21,0.33,0.06,0.57,0.44,0.03,0.36,0.0,0.19,0.67,0.38,0.24,0.26,0.18
japano.csv,0.95,1.0,0.54,0.71,0.9,0.95,0.45,0.0,0.97,0.91,0.95,0.97,0.84,0.99
lockss.csv,0.06,0.17,0.1,0.0,0.1,0.22,0.18,0.0,0.19,0.0,0.37,0.14,0.03,0.15
ofbiz.csv,0.26,0.5,0.34,0.43,0.17,0.44,0.27,0.33,0.32,0.28,0.56,0.08,0.03,0.37
officefloor.csv,0.16,0.0,0.14,0.86,0.18,0.23,0.91,0.78,0.0,0.13,0.0,0.7,0.01,0.86
opennms.csv,0.4,0.17,0.11,0.14,0.0,0.07,0.55,0.0,0.02,0.07,0.09,0.24,0.08,0.18
rohxel.csv,0.77,0.67,0.39,0.57,0.62,0.66,0.0,0.78,0.76,0.52,0.48,0.68,0.66,0.7
roolo.csv,0.05,0.33,0.02,0.0,0.18,0.18,0.0,0.0,0.07,0.16,0.41,0.0,0.24,0.25
sevenupdate.csv,0.94,0.0,0.96,1.0,0.74,0.89,0.36,1.0,0.76,0.3,0.89,0.76,0.81,0.93
