,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.75,1.0,0.92,0.75,0.5,0.0,0.74,0.42,0.0,0.42,0.5
avisynth2.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
coot.csv,0.89,0.5,0.84,0.45,0.21,0.03,0.61,0.64,0.06,1.0,0.28
dsworkbench.csv,0.98,0.57,0.94,0.17,0.33,0.07,0.65,0.3,0.05,0.27,0.38
freelords.csv,0.78,0.53,0.97,0.33,0.33,0.02,0.62,0.65,0.03,0.5,0.45
gephex.csv,0.8,0.65,0.89,0.43,0.53,0.0,1.0,0.45,0.06,0.51,0.38
jas.csv,0.75,0.5,0.71,0.5,0.4,0.0,1.0,0.65,1.0,0.0,0.0
jpaul.csv,0.83,0.85,0.77,1.0,0.67,0.0,0.9,0.4,0.0,0.44,0.58
ngl.csv,0.78,0.56,0.76,0.36,0.33,0.03,0.54,0.99,0.07,0.56,0.42
scenemonitor.csv,0.8,0.52,0.7,0.3,0.95,0.05,0.65,0.53,0.05,0.56,0.36
synecdoche.csv,1.0,0.74,0.86,0.6,0.5,0.0,0.74,0.5,0.07,0.62,1.0
