,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.94,0.65,0.92,0.75,0.5,0.9,0.84,0.76,0.96,0.92,0.88
avisynth2.csv,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
coot.csv,0.63,0.65,0.59,0.52,0.86,0.55,0.71,0.57,0.48,0.54,0.47
dsworkbench.csv,0.42,0.57,0.94,0.83,0.83,0.56,0.47,0.98,0.95,0.91,0.62
freelords.csv,0.39,0.55,0.42,0.39,0.42,0.48,0.46,0.54,0.48,0.62,0.45
gephex.csv,0.42,0.58,0.64,0.52,0.59,0.66,0.49,0.7,0.52,0.69,0.49
jas.csv,0.88,0.5,0.93,0.5,0.8,0.0,0.0,0.96,0.86,0.0,0.0
jpaul.csv,0.5,0.92,0.85,0.65,0.67,0.83,0.9,0.99,0.71,0.89,0.92
ngl.csv,0.47,0.6,0.48,0.59,0.6,0.54,0.56,0.55,0.54,0.45,0.42
scenemonitor.csv,0.47,0.61,0.57,0.48,0.52,0.46,0.44,0.54,0.57,0.48,0.43
synecdoche.csv,0.86,0.79,0.77,0.8,0.88,0.89,0.74,0.75,0.75,0.88,0.67
