,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.17,0.4,0.14,0.0,0.47,0.64,0.6,0.5,0.49,0.29,1.0,0.5
archive-crawler.csv,0.11,0.57,0.11,0.09,0.57,0.79,0.83,0.16,0.62,1.0,0.43,0.18
blue-c.csv,0.22,0.43,0.17,0.09,0.52,1.0,0.7,0.56,0.51,0.24,0.37,0.24
dynalloy.csv,0.27,0.98,0.11,0.0,0.72,0.85,0.82,0.76,0.59,0.35,0.57,0.23
jcae.csv,0.36,0.29,1.0,0.0,0.0,1.0,0.89,0.0,0.67,0.71,1.0,0.0
kmatplot.csv,1.0,0.32,0.06,0.4,0.69,0.43,0.74,0.67,0.47,0.31,0.0,0.31
mscore.csv,0.2,0.35,0.16,0.35,0.64,0.74,0.99,0.74,0.55,0.33,0.43,0.25
nosleepsoftware.csv,0.47,0.0,0.13,1.0,1.0,0.15,0.73,0.64,0.86,0.41,0.5,0.31
openmalaria.csv,0.22,0.4,0.12,0.24,0.8,0.79,0.69,1.0,0.55,0.32,0.34,0.29
popeye-chess.csv,0.25,0.33,0.12,0.44,0.94,0.71,0.72,0.72,0.61,0.32,0.32,0.27
riff-evolve.csv,0.21,0.51,0.14,0.25,0.69,0.8,0.76,0.56,1.0,0.32,0.52,0.23
virtuoso.csv,0.25,0.34,0.11,0.25,1.0,0.55,0.63,0.45,0.49,0.3,0.52,0.98
