,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.48,0.61,0.37,0.0,0.59,0.5,0.27,0.55,0.52,0.51,0.96,0.02
archive-crawler.csv,0.12,0.27,0.13,0.14,0.71,0.54,0.41,0.09,0.13,0.93,0.17,0.09
blue-c.csv,0.61,0.66,0.81,0.14,0.67,1.0,0.54,0.57,0.56,0.45,0.49,0.53
dynalloy.csv,0.6,1.0,0.17,0.0,0.68,0.42,0.45,0.36,0.55,0.57,0.63,0.37
jcae.csv,0.17,0.05,0.91,0.0,0.0,0.12,0.07,0.0,0.02,0.26,0.23,0.0
kmatplot.csv,1.0,0.22,0.13,0.29,0.3,0.12,0.26,0.12,0.21,0.2,0.0,0.53
mscore.csv,0.57,0.48,0.78,0.48,0.55,0.51,0.98,0.45,0.54,0.58,0.5,0.58
nosleepsoftware.csv,0.33,0.0,0.37,1.0,0.24,0.08,0.42,0.2,0.09,0.34,0.12,0.53
openmalaria.csv,0.64,0.62,0.47,0.52,0.51,0.66,0.66,1.0,0.6,0.61,0.41,0.67
popeye-chess.csv,0.7,0.35,0.58,0.69,0.94,0.54,0.64,0.65,0.54,0.55,0.3,0.63
riff-evolve.csv,0.62,0.58,0.64,0.29,0.7,0.57,0.62,0.54,0.98,0.56,0.69,0.52
virtuoso.csv,0.7,0.42,0.3,0.0,0.17,0.0,0.62,0.5,0.54,0.57,0.66,0.96
