,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,jcl.csv,quantlib.csv
chipster.csv,0.0,0.43,0.59,0.0,0.8,0.61,0.06,0.08,0.23,0.0
fontforge.csv,0.6,0.46,0.59,0.53,0.82,0.6,0.04,0.78,0.22,0.33
hatari.csv,0.56,0.54,0.69,0.5,0.79,0.54,0.05,0.57,0.2,0.23
jcl.csv,0.65,0.49,0.63,0.43,0.82,0.53,0.05,0.5,0.36,0.31
ltp.csv,0.41,0.42,0.59,0.52,0.79,0.55,0.04,0.43,0.23,0.37
net-snmp.csv,0.61,0.47,0.42,0.39,0.61,0.37,0.12,0.66,0.12,0.38
opde.csv,0.62,0.45,0.62,0.54,0.82,0.57,0.11,0.61,0.2,0.15
powerfolder-.csv,0.59,0.63,0.47,0.46,0.67,0.38,0.12,0.58,0.22,0.27
quantlib.csv,0.62,0.05,0.0,0.0,0.82,0.13,0.0,0.61,0.22,0.37
