,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.07,0.18,0.63,0.41,0.31,0.12,0.28,0.09,0.26,0.06,0.41,0.99,0.06,0.33,0.07
firebird.csv,0.05,0.54,0.57,0.98,0.63,0.58,0.31,0.63,0.24,0.55,0.44,0.66,0.43,0.3,0.54
flylegacy.csv,0.21,0.16,0.98,0.6,0.72,0.68,0.38,0.45,0.35,0.57,0.55,0.32,0.38,0.36,0.44
gzigzag.csv,0.26,0.36,0.54,0.42,0.56,0.61,0.98,0.38,0.33,0.56,0.57,0.44,0.33,0.37,0.3
hydrogen.csv,0.4,0.58,0.45,0.52,0.28,0.29,0.19,0.53,0.97,0.37,0.31,0.23,0.47,0.22,0.56
mcore3d.csv,0.24,0.6,0.43,0.36,1.0,0.58,0.38,0.55,0.29,0.59,0.51,0.58,0.45,0.36,0.26
nabu-library.csv,0.17,0.57,0.8,0.59,0.75,0.65,0.36,0.57,0.27,0.59,0.5,0.75,1.0,0.16,0.43
ogrehg.csv,0.26,0.66,0.73,0.63,0.64,0.63,0.36,0.64,0.25,0.68,0.94,0.68,0.58,0.34,0.25
qgo.csv,0.29,0.98,0.77,0.59,0.64,0.43,0.38,0.47,0.15,0.55,0.48,0.55,0.52,0.29,0.42
qtractor.csv,0.18,0.56,0.72,0.57,0.53,0.65,0.38,0.67,0.37,0.96,0.51,0.66,0.37,0.4,0.57
rhex.csv,0.96,0.6,0.57,0.53,0.08,0.3,0.31,0.55,0.46,0.4,0.24,0.05,0.33,0.27,0.36
rocrail.csv,0.13,0.4,0.5,0.4,0.29,0.31,0.26,0.39,0.32,0.32,0.33,0.05,0.14,0.32,0.98
webdriver.csv,0.19,0.59,0.48,0.55,0.64,0.59,0.39,0.99,0.26,0.62,0.52,0.31,0.18,0.37,0.48
xined.csv,0.22,0.57,0.39,0.48,0.33,0.26,0.26,0.45,0.27,0.5,0.43,0.52,0.56,1.0,0.5
yield.csv,0.26,0.71,0.75,0.63,0.77,0.98,0.38,0.65,0.32,0.69,0.6,0.8,0.52,0.34,0.46
