,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.19,0.29,0.68,0.21,0.09,0.01,0.43,0.37,0.24,0.21,0.32,0.05,0.0,0.23,0.05
firebird.csv,0.31,0.31,0.41,0.04,0.63,0.32,0.49,0.26,0.42,0.5,0.53,0.26,0.41,0.67,0.3
flylegacy.csv,0.49,0.11,0.0,0.65,0.58,0.56,0.32,0.19,0.35,0.71,0.36,0.32,0.14,0.72,0.61
gzigzag.csv,0.43,0.31,0.36,0.46,0.39,0.62,0.0,0.13,0.39,0.46,0.39,0.32,0.71,0.49,0.72
hydrogen.csv,0.1,0.11,0.14,0.28,0.14,0.21,0.19,0.15,0.0,0.12,0.19,0.11,0.17,0.14,0.24
mcore3d.csv,0.41,0.54,0.41,0.34,0.0,0.25,0.59,0.67,0.25,0.42,0.34,0.68,0.15,0.6,0.39
nabu-library.csv,0.77,0.57,0.95,0.62,0.86,0.74,0.71,0.56,0.8,0.71,0.8,0.89,0.0,0.81,0.59
ogrehg.csv,0.78,0.6,0.64,0.94,0.63,0.93,0.67,0.19,0.39,0.83,0.02,0.84,0.95,0.56,0.84
qgo.csv,0.28,0.0,0.73,0.31,0.25,0.1,0.37,0.2,0.08,0.38,0.34,0.32,0.22,0.33,0.29
qtractor.csv,0.36,0.31,0.64,0.51,0.42,0.71,0.39,0.28,0.46,0.04,0.65,0.37,0.71,0.6,0.2
rhex.csv,0.0,0.4,0.18,0.61,0.04,0.32,0.51,0.2,0.04,0.5,0.03,0.11,0.14,0.07,0.06
rocrail.csv,0.02,0.06,0.14,0.08,0.04,0.03,0.12,0.07,0.1,0.12,0.09,0.11,0.05,0.14,0.0
webdriver.csv,0.33,0.63,0.32,0.47,0.58,0.28,0.35,0.0,0.63,0.42,0.18,0.42,0.74,0.49,0.12
xined.csv,0.26,1.0,0.18,0.27,0.3,0.18,0.61,0.7,0.48,0.33,0.22,0.37,0.81,0.0,0.18
yield.csv,0.58,0.54,0.86,0.59,0.79,0.0,0.74,0.81,0.51,0.79,0.64,0.74,0.94,0.91,0.56
