,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.1,0.16,0.49,0.35,0.23,0.07,0.41,0.09,0.42,0.05,0.43,0.99,0.04,0.44,0.06
firebird.csv,0.1,0.53,0.48,0.98,0.53,0.58,0.49,0.62,0.51,0.53,0.51,0.59,0.41,0.57,0.75
flylegacy.csv,0.5,0.12,0.98,0.58,0.63,0.71,0.51,0.4,0.68,0.52,0.6,0.25,0.3,0.62,0.72
gzigzag.csv,0.58,0.34,0.44,0.4,0.47,0.62,0.98,0.31,0.67,0.54,0.63,0.37,0.32,0.65,0.51
hydrogen.csv,0.47,0.52,0.34,0.48,0.2,0.25,0.2,0.47,0.95,0.29,0.28,0.17,0.4,0.24,0.74
mcore3d.csv,0.52,0.63,0.35,0.32,1.0,0.55,0.61,0.57,0.48,0.57,0.54,0.49,0.38,0.67,0.39
nabu-library.csv,0.44,0.6,0.2,0.57,0.42,0.59,0.56,0.61,0.54,0.54,0.48,0.37,1.0,0.33,0.71
ogrehg.csv,0.56,0.68,0.59,0.23,0.54,0.27,0.57,0.61,0.52,0.48,0.93,0.43,0.2,0.63,0.38
qgo.csv,0.53,0.98,0.57,0.56,0.55,0.35,0.54,0.42,0.15,0.52,0.52,0.47,0.46,0.44,0.58
qtractor.csv,0.37,0.56,0.58,0.56,0.45,0.62,0.54,0.68,0.78,0.96,0.58,0.59,0.35,0.72,0.7
rhex.csv,0.93,0.62,0.48,0.52,0.05,0.28,0.48,0.51,0.43,0.38,0.17,0.04,0.26,0.24,0.31
rocrail.csv,0.1,0.31,0.4,0.31,0.2,0.23,0.25,0.31,0.36,0.25,0.26,0.04,0.1,0.34,0.96
webdriver.csv,0.37,0.61,0.39,0.54,0.55,0.57,0.54,0.98,0.62,0.6,0.49,0.25,0.18,0.65,0.5
xined.csv,0.37,0.0,0.29,0.44,0.25,0.2,0.44,0.46,0.6,0.46,0.4,0.45,0.45,1.0,0.59
yield.csv,0.65,0.76,0.41,0.63,0.53,0.98,0.56,0.53,0.72,0.54,0.67,0.61,0.22,0.33,0.75
