,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.94,0.91,0.81,0.72,0.81,0.94,0.76,1.0,0.67,0.99,0.69,0.05,0.97,0.64,0.96
firebird.csv,0.97,0.59,0.68,0.04,0.75,0.55,0.72,0.48,0.65,0.68,0.72,0.52,0.74,0.74,0.38
flylegacy.csv,0.7,0.91,0.03,0.72,0.64,0.59,0.61,0.67,0.47,0.79,0.54,0.84,0.75,0.73,0.62
gzigzag.csv,0.6,0.77,0.69,0.77,0.67,0.67,0.03,0.74,0.5,0.65,0.53,0.74,0.97,0.57,0.81
hydrogen.csv,0.59,0.55,0.71,0.63,0.84,0.82,0.85,0.6,0.06,0.76,0.79,0.87,0.67,0.81,0.36
mcore3d.csv,0.64,0.62,0.8,0.79,0.0,0.54,0.67,0.74,0.62,0.6,0.59,0.82,0.68,0.64,0.75
nabu-library.csv,0.87,0.66,0.96,0.71,0.88,0.75,0.76,0.65,0.8,0.78,0.84,0.9,0.0,1.01,0.6
ogrehg.csv,0.78,0.62,0.7,0.96,0.74,0.93,0.74,0.46,0.63,0.84,0.08,0.88,0.97,0.63,0.93
qgo.csv,0.58,0.03,0.76,0.56,0.54,0.71,0.61,0.65,0.88,0.62,0.61,0.64,0.61,0.68,0.54
qtractor.csv,0.76,0.56,0.71,0.66,0.71,0.72,0.62,0.43,0.48,0.05,0.72,0.56,0.95,0.61,0.38
rhex.csv,0.08,0.54,0.6,0.75,0.96,0.83,0.72,0.57,0.63,0.81,0.86,0.98,0.79,0.8,0.73
rocrail.csv,0.92,0.74,0.66,0.74,0.83,0.81,0.8,0.74,0.69,0.8,0.78,0.98,0.92,0.71,0.05
webdriver.csv,0.75,0.68,0.72,0.66,0.71,0.54,0.6,0.02,0.68,0.57,0.58,0.88,1.11,0.57,0.56
xined.csv,0.72,1.01,0.77,0.66,0.83,0.84,0.82,0.84,0.61,0.66,0.67,0.69,0.87,0.0,0.49
yield.csv,0.63,0.55,0.89,0.66,0.8,0.03,0.77,0.82,0.54,0.8,0.66,0.74,1.0,0.91,0.57
