,reactos-mirror.csv,critterding.csv,autat.csv,alpine.csv,open-data-kit.csv,fmri-dmt.csv
alpine.csv,0.87,0.8,0.88,0.08,0.88,1.0
autat.csv,0.7,0.84,0.0,0.62,0.72,1.0
critterding.csv,0.69,0.06,0.72,0.94,0.83,0.73
fmri-dmt.csv,0.95,0.88,1.0,1.0,0.97,0.0
open-data-kit.csv,0.69,0.73,0.79,0.67,0.03,0.64
reactos-mirror.csv,0.09,0.71,0.49,0.75,0.7,0.75
