,net-snmp.csv,fontforge.csv,k3d.csv,patterntesting.csv,massiv.csv,t-2.csv,xreal.csv
fontforge.csv,0.74,0.48,0.74,0.75,0.47,0.59,0.49
k3d.csv,0.92,0.88,0.97,0.0,0.98,0.0,0.97
massiv.csv,0.0,0.0,0.0,0.0,0.75,0.0,0.0
net-snmp.csv,0.59,0.3,0.59,0.67,0.55,0.48,0.62
patterntesting.csv,0.44,0.35,0.46,0.59,0.41,0.52,0.41
t-2.csv,0.75,0.8,0.79,0.94,0.74,0.99,0.66
xreal.csv,0.67,0.86,0.92,0.0,0.92,0.0,0.8
